CODICE,CODICE_SIF,PROVINCIA,CODICE_FOG,CODICE_SSG,COMUNE,DATA_INIZIO,DATA_FINE,X,Y,lat,lon,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,INFO,ORIGINE,z_PTUA2003,z_CAP,z_Idroscalo2005,z_OLONA,z_Milano1950,FALDA
PO0170400RC511,,BS,,,CASTEGNATO,,,584404.0,5046117.0,45.56347240999335,10.08156336325926,157.22,157.28,60.0,1,37.5,55.5,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,,,PTUA2022,,,,,,
PO0171660UC529,,BS,,,ROVATO,,,579372.0,5046593.0,45.568348487008215,10.017170568792237,176.48,176.48,81.0,1,63,75,INDUSTRIALE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,,,PTUA2022,,,,,,
PO0170290RC490,,BS,,,BRESCIA,,,600963.0,5039596.0,45.50258552564528,10.292357521412079,135.48,135.48,34.0,1,17,34,ANTINCENDIO,POZZO,GWB ISS APOM,IT03GWBISSAPOM,SI,,PTUA2022,,,,,,
PO017029NR0001,,BS,,,BRESCIA,,,591971.0,5038818.0,45.4968282567343,10.177136886937886,107.06,107.06,12.0,1,3,12,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,SI,,PTUA2022,,,,,,
PO0170450RC542,,BS,,,CASTREZZATO,,,578796.0,5040213.0,45.510996050172906,10.008762779990322,129.4,129.92,28.0,1,15,24,INDUSTRIALE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,,,PTUA2022,,,,,,
PO0171130RC561,,BS,,,MONTICHIARI,,,605366.0,5033595.0,45.44793298041244,10.347414132436352,118.75,120.0,56.0,1,25,52,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,,,PTUA2022,,,,,,
PO017113NRD106,,BS,,,MONTICHIARI,,,605200.0,5032183.0,45.43525177295833,10.344989929636169,111.68,111.28,41.8,1,29.8,41.8,INDUSTRIALE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,,,PTUA2022,,,,,,
PO0171140UC023,,BS,,,MONTIRONE,,,596315.0,5033160.0,45.44532494195361,10.231613454857763,98.78,100.61,55.5,1,22.25,31.25,POTABILE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,,,PTUA2022,,,,,,
PO0200170R0001,,MN,,,CASTIGLIONE DELLE STIVIERE,,,615368.0,5028467.0,45.400209677663476,10.474076708501368,105.253,105.253,28.0,1,18,28,NON DEFINITO,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,,,PTUA2022,,,,,,
PO0170340RC481,,BS,,,CALVISANO,,,603498.0,5027951.0,45.397422703675936,10.322346307470406,85.95,85.8,10.0,1,4,10,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,SI,,PTUA2022,,,,,,
PO020017NU0005,,MN,,,CASTIGLIONE DELLE STIVIERE,,,618058.0846,5027962.536,45.395221731660236,10.50831573946654,112.83,112.69,60.0,1,48,58,NON DEFINITO,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,SI,,PTUA2022,,,,,,
PO0170340RC483,,BS,,,CALVISANO,,,604569.0,5024858.0,45.369429978262616,10.33537071371352,75.97,75.64,12.0,1,6,12,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,SI,,PTUA2022,,,,,,
PO0130230U0003,,CO,,,BINAGO,2001-09-01 00:00:00,2020-12-01,492805.0,5069886.0,45.782496602020025,8.907442131473825,372.084,373.384,30.0,1,20.5,29.5,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO012002NU0008,,VA,,,ALBIZZATE,2011-09-01 00:00:00,2021-03-01,485002.0,5065315.0,45.741229132208446,8.807205017197962,313.8,315.12,48.5,1,18,28.5,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',PTUA2022,,,,,,
PO012136NUZ001,,VA,,,VENEGONO INFERIORE,2005-08-01 00:00:00,2020-07-01,493230.0,5064390.0,45.73303295747794,8.912986328360603,315.709,316.009,67.0,2,28,55,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO0130280U0009,,CO,,,BREGNANO,2001-09-01 00:00:00,2021-04-01,503950.0,5061917.0,45.71079588069668,9.050748548918438,281.548,283.013,96.0,1,71,86,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO013029NU0003,,CO,,,BRENNA,2001-06-01 00:00:00,2020-06-01,514917.0,5064395.0,45.73295023124814,9.191725416485538,340.871,342.371,79.0,1,57,74,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO0130460U0001,,CO,,,CARIMATE,2007-01-01 00:00:00,2020-12-01,508142.0,5061966.0,45.71120030243424,9.10460700491566,250.348,253.598,61.0,3,41.41,58,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO013064NU0002,,CO,,,CERMENATE,2001-09-01 00:00:00,2021-04-01,506428.0,5061507.0,45.707086977440646,9.082579772156986,301.932,304.572,110.0,1,98.3,102.3,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO0131330U0009,,CO,,,LOMAZZO,2007-03-01 00:00:00,2021-04-01,502017.0,5061511.0,45.70714988625931,9.025912194473959,303.805,306.115,153.0,1,88,91,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO013143NUP001,,CO,,,MARIANO COMENSE,2015-10-01 00:00:00,2020-06-01,513110.453,5061567.053,45.70753319647784,9.168429816929343,284.119,285.209,53.0,1,37,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO0970200U0002,,LC,,,CERNUSCO LOMBARDONE,2006-02-01 00:00:00,2021-03-01,531019.0,5060365.0,45.696143185279375,9.398419833931262,254.711,256.57,40.0,1,22,36,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO0970480U0001,,LC,,,MERATE,2001-08-01 00:00:00,2021-03-01,530989.0,5061279.0,45.70437107786069,9.398092889491815,264.704,266.704,49.8,1,35,44,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO0120500RZ001,,VA,,,CISLAGO,2005-12-01 00:00:00,2021-04-01,495380.0,5054832.0,45.6470207268182,8.940710862731478,207.042,207.752,15.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO012070NU1007,,VA,,,GALLARATE,2004-01-01 00:00:00,2021-04-01,482391.0,5056403.0,45.66095290747508,8.773965068909195,252.806,254.856,65.0,4,32,55,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',PTUA2022,,,,,,
PO0120790RZ001,,VA,,,GORLA MINORE,2005-12-01 00:00:00,2021-03-01,494757.0,5054445.0,45.64353294976908,8.932719987563429,241.321,241.521,50.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO012123NUP001,,VA,,,SOMMA LOMBARDO,2015-01-01 00:00:00,2021-03-01,477395.4323,5053944.915,45.638683351707684,8.709955269550052,228.186,231.736,100.0,1,58,88,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',PTUA2022,,,,,,
PO0131310U0001,,CO,,,LOCATE VARESINO,2012-03-01 00:00:00,2021-03-01,494595.0,5059657.0,45.690444213933006,8.930583187476616,272.942,273.982,58.0,1,50,54,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO0131590U0001,,CO,,,MOZZATE,2009-02-01 00:00:00,2021-03-01,495957.0,5058515.0,45.680174545192166,8.9480849539333,260.0,261.965,102.5,2,40,98,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO0970200U0003,,LC,,,CERNUSCO LOMBARDONE,2001-08-01 00:00:00,2021-03-01,530490.0,5059489.0,45.688282134011416,9.391570292009897,246.905,248.915,50.0,1,37,43,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO0970610U0015,,LC,,,OSNAGO,2006-01-01 00:00:00,2021-03-01,529860.0,5057943.0,45.674394577407774,9.383384599241467,238.515,238.095,46.6,2,21.4,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO1080390U0026,,MB,,,SEREGNO,2015-04-01 00:00:00,2021-03-01,516742.2773,5056424.618,45.66116895719162,9.214910218116112,230.749,233.749,96.0,3,68,88,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
