CODICE,CODICE_SIF,PROVINCIA,CODICE_FOG,CODICE_SSG,COMUNE,DATA_INIZIO,DATA_FINE,X,Y,lat,lon,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,INFO,ORIGINE,z_PTUA2003,z_CAP,z_Idroscalo2005,z_OLONA,z_Milano1950,FALDA
PO015146NU1557,0151461557,MI,FOG8,,MILANO,1950-07-01 00:00:00,2020-07-01,514394.0,5036838.0,45.48492305802869,9.184189806521267,123.76,123.7,30.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,SCUOLA VIA D'AZEGLIO,PTUA2022-Idroscalo2005-FOG,,,123.52,,124.19,
PO015243NUP001,,MI,,,VITTUONE,2016-02-01 00:00:00,2018-12-01,496210.5145,5037318.334,45.48938482411444,8.95150481522566,147.213,146.463,50.0,1,30,50,POTABILE,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",PTUA2022,,,,,,
PO015146NU1120,0151461120,MI,FOG40,,MILANO,1952-01-01 00:00:00,2019-12-01,513604.0,5033914.0,45.45861958137727,9.173999779020887,117.37,117.37,17.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,SCUOLA DI VIA ARIBERTO 12-14,PTUA2022-FOG,,,,,117.74,
PO015146NU1353,0151462122,MI,FOG50,,MILANO,1954-01-01 00:00:00,2020-12-01,519795.0,5033780.0,45.4572653659559,9.253178716873853,108.811,108.811,16.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,SCUOLA VIA MONLUE' 65 (FOG),PTUA2022-Idroscalo2005-FOG,,,108.66,,109.14,
PO018162NUP001,,PV,,,TRAVACO' SICCOMARIO,,,512843.2754,4999704.742,45.15070249999365,9.163382961209646,61.197,60.482,14.0,n.d.,n.d.,n.d.,POTABILE,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO019071NRA001,,CR,,,PIADENA,,,611002.0,4998742.0,45.1334279212755,10.411662098856352,26.5,26.14,10.0,1,1,10,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO0181140U0002,,PV,,,PIEVE PORTO MORONE,,,534746.0,4995245.0,45.109819882165645,9.441698102871495,55.383,55.383,24.0,1,12,18,POTABILE,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO019040NRA001,,CR,,,DEROVERE,,,597838.0,4994940.0,45.101157838483665,10.243548312524647,32.95,32.7,10.0,1,2,10,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO019089NUA001,,CR,,,SAN DANIELE PO,,,590532.0,4991152.0,45.06803923548214,10.150022224552085,33.6,33.6,25.0,1,13,25,DIDATTICO/SCIENTIFICO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO019091NRA001,,CR,,,SAN MARTINO DEL LAGO,,,602954.0,4991122.0,45.0660714888026,10.307773243510464,29.18,28.83,12.0,1,2,12,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO0200030R0002,,MN,,,BAGNOLO SAN VITO,,,645227.0,4994417.0,45.08830784105811,10.845462043610377,17.258,17.258,52.3,n.d.,n.d.,n.d.,IGIENICO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,SI,,PTUA2022,,,,,,
PO020021NRP001,,MN,,,CURTATONE,,,633518.3157,4994872.379,45.09471228206729,10.696864359763076,20.444,21.694,40.0,1,34,40,IRRIGUO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO0200310R0062,,MN,,,MARCARIA,,,627739.0,4991877.0,45.06882684511838,10.622682759038806,21.824,21.824,8.0,n.d.,n.d.,n.d.,IRRIGUO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO0980110U0001,0980110001,LO,,,CASELLE LANDI,,,562209.7293,4994623.069,45.10233820273572,9.790719260117049,45.233,45.493,62.3,2,32.5,61,POTABILE,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,via Roma I-via Roma I                                                                                                                                                                                                                                                    ,PTUA2022-PTUA2003-CAP,45.34,45.58,,,,
PO098049NR0141,,LO,,,SAN ROCCO AL PORTO,,,550976.491,4994237.896,45.099770461788594,9.647909677464375,49.723,49.747,12.0,1,5.2,12,MONITORAGGIO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO0180470U0001,,PV,,,CERVESINA,,,501288.0,4989873.0,45.06231522541533,9.016359748355205,71.908,71.718,81.0,2,42,77,POTABILE,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO019103NRA001,,CR,,,STAGNO LOMBARDO,,,583736.0,4989691.0,45.055726461567986,10.063464746968014,34.83,34.46,12.0,1,1,12,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO019083NRA001,,CR,,,RIVAROLO DEL RE ED UNITI,,,616502.0,4988727.0,45.04241928906904,10.479256731705936,21.39,22.0,20.0,1,10,20,ANTINCENDIO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,si,,PTUA2022,,,,,,
PO0200290R0002,,MN,,,MAGNACAVALLO,,,668106.0,4985295.0,45.00118347909417,11.132954044496937,13.0,13.0,15.0,1,13,15,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO0200370R0002,,MN,,,MOTTEGGIANA,,,634438.0,4988250.0,45.03495107792761,10.706772770606797,18.0,18.0,13.0,1,10,13,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,SI,,PTUA2022,,,,,,
PO0200400R0001,,MN,,,PIEVE DI CORIANO,,,664174.0,4988419.0,45.0302074611767,11.084117240866766,11.817,11.817,51.0,n.d.,n.d.,n.d.,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,SI,HA PRESO NOME BORGO MANTOVANO,PTUA2022,,,,,,
PO020061NR0001,,MN,,,SERMIDE,,,677797.0,4988196.0,45.024915763882355,11.256847205630267,10.65,10.65,10.0,1,9,10,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO020061NUP001,,MN,,,SERMIDE,,,680924.0,4986614.0,45.0098951737787,11.295938792157248,11.66,11.66,50.0,1,28,50,MONITORAGGIO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,SI,,PTUA2022,,,,,,
PO0200650R0002,,MN,,,SUZZARA,,,636024.0,4984904.0,45.004541789562474,10.725993878148152,19.42,19.42,10.0,1,9,10,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO020023NUP001,,MN,,,FELONICA,,,685844.0,4983484.0,44.98047116226375,11.357166684684444,8.7,8.7,50.0,1,14,50,MONITORAGGIO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,SI,,PTUA2022,,,,,,
PO0200270R0053,,MN,,,GONZAGA,,,646253.0,4978449.0,44.94442964915025,10.853850097561594,17.841,17.841,19.0,n.d.,n.d.,n.d.,NON DEFINITO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO0200420R0001,,MN,,,POGGIO RUSCO,,,668975.0,4982250.0,44.97358535288924,11.142951018967747,10.859,10.859,6.0,n.d.,n.d.,n.d.,IRRIGUO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022,,,,,,
PO0161220R0519,,BG,,,ISSO,,,556753.0,5036727.0,45.4817640796279,9.726187569574718,104.8,104.8,35.0,n.d.,n.d.,n.d.,ZOOTECNICO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO019084NRA002,,CR,,,RIVOLTA D'ADDA,,,540419.0,5033590.0,45.45466599883357,9.516936697318776,96.18,95.96,10.5,1,1,10,NON DEFINITO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,SI,,PTUA2022,,,,,,
PO019094NU0944,,CR,,,SERGNANO,,,554722.0,5030569.0,45.42650103351132,9.699516143665797,91.1,90.54,46.0,1,37,42,POTABILE,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO019035NRA001,,CR,,,CREMA,,,552645.0,5022933.0,45.35793130928601,9.672152326054473,77.81,77.81,10.0,1,1,10,NON DEFINITO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,SI,,PTUA2022,,,,,,
PO098003NR0063,,LO,,,BOFFALORA D'ADDA,,,537578.0,5023179.0,45.361115608766575,9.479809172042586,72.433,72.403,9.0,1,3,9,PIEZOMETRO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO019047NRA001,,CR,,,GENIVOLTA,,,568902.0,5021693.0,45.345360962272075,9.879521247463696,60.78,60.33,18.0,1,1,15,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO098025NR0110,,LO,,,CRESPIATICA,,,542967.5282,5021710.343,45.34758649735981,9.548493881567715,72.827,72.563,10.0,1,1,10,MONITORAGGIO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO019027NRA001,,CR,,,CASTELVISCONTI,,,574398.0,5015772.0,45.29150912880558,9.948777503009474,65.2,64.48,18.0,1,2,18,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO019110NRA001,,CR,,,TRIGOLO,,,564922.0,5019504.0,45.32603886502408,9.828435448255211,70.82,70.16,23.0,1,2,18,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO098024NR0087,,LO,,,CORTE PALASIO,,,543946.5236,5018367.411,45.317436175178166,9.560693475236285,66.918,66.918,10.0,1,3,10,MONITORAGGIO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO019065NRA001,,CR,,,PADERNO PONCHIELLI,,,574438.0,5010588.0,45.24484751085924,9.94851008599298,58.87,58.21,24.0,1,4,15,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO019088NRP001,,CR,,,SAN BASSANO,,,563717.978,5010319.591,45.24348434977906,9.811893041142692,50.943,51.343,31.0,1,22,28,IRRIGUO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO019033NRA001,,CR,,,CORTE DE' FRATI,,,586564.0,5006546.0,45.2070823263645,10.102292940978481,48.01,47.83,15.0,1,1.5,15,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO019051NRA001,,CR,,,GRUMELLO CREMONESE ED UNITI,,,568876.0,5004743.0,45.19280601645415,9.876837178729593,46.42,46.42,13.0,n.d.,n.d.,n.d.,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO019070NRA001,,CR,,,PESSINA CREMONESE,,,599778.0,5003151.0,45.174781587700934,10.269839592044143,39.44,39.3,12.0,1,1,12,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO019077NRA001,,CR,,,POZZAGLIO ED UNITI,,,579839.0,5008345.0,45.22406797137635,10.016960485589731,53.81,53.07,18.0,1,4,17,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO019036NUA001,,CR,,,CREMONA,,,582978.0,4998541.0,45.135467890795425,10.055305832195607,42.99,43.3,20.0,1,2,15,NON DEFINITO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022,,,,,,
PO0200530R0089,,MN,,,ROVERBELLA,,,641706.0,5013584.0,45.26147096744739,10.806186559933897,35.415,35.415,30.0,n.d.,n.d.,n.d.,ANTINCENDIO,POZZO,GWB ISS MPBM,IT03GWBISSMPBM,,,PTUA2022,,,,,,
PO020004NR0001,,MN,,,BIGARELLO,,,649416.0,5004823.0,45.18105569708118,10.901774819557554,26.3,26.3,15.0,1,5,15,NON DEFINITO,PIEZOMETRO,GWB ISS MPBM,IT03GWBISSMPBM,SI,,PTUA2022,,,,,,
PO0200330R0002,,MN,,,MARMIROLO,,,639065.0,5008516.0,45.2164002575539,10.771123039355885,31.883,31.883,38.0,n.d.,n.d.,n.d.,NON DEFINITO,POZZO,GWB ISS MPBM,IT03GWBISSMPBM,,,PTUA2022,,,,,,
PO0200570U0002,,MN,,,SAN GIORGIO DI MANTOVA,,,645831.0,5002540.0,45.16126627729201,10.855501769571932,23.443,23.443,10.5,1,3,9,NON DEFINITO,POZZO,GWB ISS MPBM,IT03GWBISSMPBM,SI,,PTUA2022,,,,,,
PO0980200U0003,0980200003,LO,,,COMAZZO,,,536223.0,5032262.0,45.44294302626333,9.46317619789206,99.238,98.783,41.0,1,29,41,POTABILE,POZZO,GWB ISS MPLAN,IT03GWBISSMPLAN,,Serbatoio                                                                                                                                                                                                                                                     ,PTUA2022-CAP,,94.19,,,,
PO0152100U0004,0152100004,MI,,,SETTALA,,,530914.0,5030976.0,45.43162280811389,9.395212037017748,97.739,97.739,43.0,4,14,39,INDUSTRIALE,POZZO,GWB ISS MPLAN,IT03GWBISSMPLAN,,depuratore-depuratore                                                                                                                                                                                                                                                    ,PTUA2022-PTUA2003-CAP,98.6,98.42,,,,1.0
PO0980180U0001,0980180001,LO,,,CERVIGNANO D'ADDA,,,533273.0,5024618.0,45.374285863800075,9.424940002975596,86.922,87.162,55.0,1,41.5,50.5,POTABILE,POZZO,GWB ISS MPLAN,IT03GWBISSMPLAN,,p.za Caduti-Piazza Caduti                                                                                                                                                                                                                                                 ,PTUA2022-PTUA2003-CAP,81.68,87.97,,,,1.0
PO098031NR0333,,LO,,,LODI,,,536089.1193,5018845.124,45.3221842550331,9.460482905770602,81.233,80.783,75.0,1,40,52,POTABILE,POZZO,GWB ISS MPLAS,IT03GWBISSMPLAS,,,PTUA2022,,,,,,
PO0980320U0002,0980320002,LO,,,LODI VECCHIO,,,532553.0,5016525.0,45.301473353949085,9.415212155419807,80.442,80.892,66.5,3,31,61,POTABILE,POZZO,GWB ISS MPLAS,IT03GWBISSMPLAS,,via Cabrini-serb.-                                                                                                                                                                                                                                                              ,PTUA2022-PTUA2003-CAP,74.23,80.38,,,,2.0
PO0152020U0025,,MI,,,SAN ZENONE AL LAMBRO,,,528291.4058,5018882.33,45.32287694625898,9.360991546568494,84.866,84.686,28.0,1,22,28,POTABILE,PIEZOMETRO,GWB ISS MPLAS,IT03GWBISSMPLAS,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",PTUA2022,,,,,,
PO0980600U0001,,LO,,,VILLANOVA DEL SILLARO,,,536331.0,5010155.0,45.24395036262266,9.462932496915277,72.786,71.715,59.0,1,39,57,POTABILE,POZZO,GWB ISS MPLAS,IT03GWBISSMPLAS,,,PTUA2022,,,,,,
PO098002NR0045,,LO,,,BERTONICO,,,551597.0,5007962.0,45.2232572016619,9.657214573234945,65.153,64.753,12.0,n.d.,n.d.,n.d.,PIEZOMETRO,POZZO,GWB ISS MPLAS,IT03GWBISSMPLAS,,,PTUA2022,,,,,,
PO0980100U0007,0980100003,LO,,,CASALPUSTERLENGO,,,550723.7257,5003634.624,45.18436981726423,9.645651238844446,61.881,63.661,39.0,1,23.25,35.3,POTABILE,POZZO,GWB ISS MPLAS,IT03GWBISSMPLAS,,via Cadorna-via Cadorna                                                                                                                                                                                                                                                   ,PTUA2022-PTUA2003-CAP,54.95,60.05,,,,
PO098052NR0037,,LO,,,SECUGNAGO,,,545716.0,5007808.0,45.22227750785116,9.582295569855829,67.381,67.437,10.0,1,2,10,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS MPLAS,IT03GWBISSMPLAS,,,PTUA2022,,,,,,
PO098026NR0074,,LO,,,FOMBIO,,,553822.0,4999541.0,45.14729327686887,9.68464421724992,58.095,57.91,30.0,1,10,30,NON DEFINITO,PIEZOMETRO,GWB ISS MPLAS,IT03GWBISSMPLAS,,,PTUA2022,,,,,,
PO0980510U0001,,LO,,,SANTO STEFANO LODIGIANO,,,558473.9317,4998227.47,45.13510021802266,9.743660718422301,51.843,51.013,56.6,1,30.75,53,POTABILE,POZZO,GWB ISS MPLAS,IT03GWBISSMPLAS,,,PTUA2022,,,,,,
PO0170600UC013,,BS,,,COMEZZANO - CIZZAGO,,,574582.0,5036376.0,45.4769271102981,9.954238596653347,109.54,108.89,40.0,1,24,36,POTABILE,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,,,PTUA2022,,,,,,
PO017037NRP001,,BS,,,CAPRIANO DEL COLLE,,,589891.7347,5032071.706,45.43638696568139,10.14929525982042,86.237,85.787,40.0,1,30,33,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,,PTUA2022,,,,,,
PO017122NRP001,,BS,,,BARBARIGA,,,583839.7803,5027911.328,45.39969714576089,10.071224859359045,80.26,80.05,30.0,1,12,30,IRRIGUO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,,,PTUA2022,,,,,,
PO0170880RC541,,BS,,,LENO,,,596024.0,5022678.0,45.35103507242776,10.22585151079556,62.16,62.16,12.0,1,3,12,INDUSTRIALE,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,,PTUA2022,,,,,,
PO020034NU0002,,MN,,,MEDOLE,,,620111.0677,5022645.645,45.34703044329207,10.533241871189551,83.11,83.16,40.0,1,27,39,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,,PTUA2022,,,,,,
PO020063NU0002,,MN,,,SOLFERINO,,,622268.0218,5023901.63,45.35795895028286,10.561076384636204,105.62,105.76,43.0,1,33,43,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,,,PTUA2022,,,,,,
PO020018NU0004,,MN,,,CAVRIANA,,,625401.9723,5021556.687,45.33630568065056,10.600479236226349,76.16,76.34,40.0,1,27,39,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,,PTUA2022,,,,,,
PO0170860UC579,,BS,,,ISORELLA,,,604118.0,5018644.0,45.31357761514704,10.3283044267419,55.48,55.78,47.0,1,42,47,IRRIGUO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,,,PTUA2022,,,,,,
PO0200150R0002,,MN,,,CASTEL GOFFREDO,,,612158.0,5017572.0,45.30269230801922,10.430602489855131,51.5,51.5,6.0,1,4,6,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,,PTUA2022,,,,,,
PO0200280R0056,,MN,,,GUIDIZZOLO,,,624064.0,5020093.0,45.323373451885935,10.583042549996113,65.27,65.27,54.0,1,44,54,NON DEFINITO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,SI,,PTUA2022,,,,,,
PO0200700R0002,,MN,,,VOLTA MANTOVANA,,,628665.0,5019369.0,45.3160304513808,10.64153883808833,57.05,57.05,15.0,1,13,15,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,,PTUA2022,,,,,,
PO017073NUP001,,BS,,,GAMBARA,,,601119.1923,5012345.56,45.25733522558431,10.288772182901152,48.524,48.324,15.0,1,10,14,IRRIGUO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,,,PTUA2022,,,,,,
PO0170710RC478,,BS,,,FIESSE,,,604060.0,5008231.0,45.2198787067589,10.325381827298147,41.5,40.78,10.0,1,4,10,INDUSTRIALE,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,,PTUA2022,,,,,,
PO0200240R0001,,MN,,,GAZOLDO DEGLI IPPOLITI,,,624030.0,5006846.0,45.204181931823086,10.579299655825437,34.614,34.614,15.0,1,6,12,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,,,PTUA2022,,,,,,
PO020032NR0001,,MN,,,MARIANA MANTOVANA,,,616370.0,5003316.0,45.17372376101871,10.480972931160748,33.008,33.008,25.0,1,12,24,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,,,PTUA2022,,,,,,
PO0200510R0002,,MN,,,RODIGO,,,631172.0,5004964.0,45.18595458528186,10.669707101387392,31.0,31.0,17.0,1,15,17,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,,,PTUA2022,,,,,,
PO0200210R0045,,MN,,,CURTATONE,,,639385.0,4998578.0,45.126921482174694,10.772420152153726,22.963,22.963,30.0,n.d.,n.d.,n.d.,ANTINCENDIO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,,,PTUA2022,,,,,,
PO020030NU0004,,MN,,,MANTOVA,,,640758.0,5001180.0,45.15006023789292,10.79060353909527,17.9,17.9,16.0,1,9,15,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,,PTUA2022,,,,,,
PO0181150U0006,,PV,,,PINAROLO PO,,,512380.0,4989928.0,45.06270324383503,9.157247713322233,67.287,66.637,19.5,1,10.5,14.5,POTABILE,POZZO,GWB ISS MPOP,IT03GWBISSMPOP,,,PTUA2022,,,,,,
PO0181180U0019,,PV,,,PORTALBERA,,,524321.0,4993134.0,45.09125307210425,9.309073225237395,68.079,67.559,17.2,1,10.3,16.3,POTABILE,POZZO,GWB ISS MPOP,IT03GWBISSMPOP,,,PTUA2022,,,,,,
PO018032NR0001,,PV,,,CASATISMA,,,508567.0,4988324.0,45.048320734274576,9.108788652586233,75.728,75.728,17.0,1,15.2,16.4,NON DEFINITO,PIEZOMETRO,GWB ISS MPOP,IT03GWBISSMPOP,,,PTUA2022,,,,,,
PO0180490U0003,,PV,,,CIGOGNOLA,,,520341.0,4986376.0,45.03054499619364,9.258221654203583,107.259,107.259,10.0,1,4.5,9.5,POTABILE,POZZO,GWB ISS MPOP,IT03GWBISSMPOP,,,PTUA2022,,,,,,
PO0181550U0001,,PV,,,TORRAZZA COSTE,,,505656.0,4980492.0,44.9778470882484,9.071735082195792,116.616,116.616,33.0,3,9,29,POTABILE,POZZO,GWB ISS MPOP,IT03GWBISSMPOP,,,PTUA2022,,,,,,
PO0180350U0002,,PV,,,CASSOLNOVO,,,485404.0,5022621.0,45.35694861525365,8.81364681775458,117.58,117.36,46.5,1,30.5,40.5,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,,PTUA2022,,,,,,
PO0180500U0002,,PV,,,CILAVEGNA,,,480174.0,5017487.0,45.310607424738045,8.747079595287138,115.897,115.897,50.0,1,41,48.8,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,,PTUA2022,,,,,,
PO0181770U0020,,PV,,,VIGEVANO,,,488853.0,5017022.0,45.306613277258435,8.85780764172826,103.06,102.99,46.0,1,30,42,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,,PTUA2022,,,,,,
PO018003NR0009,,PV,,,ALBONESE,,,477798.0,5014771.0,45.286088631670566,8.716890987064764,113.49,113.49,19.0,1,1,15,MONITORAGGIO,PIEZOMETRO,GWB ISS MPP,IT03GWBISSMPP,,,PTUA2022,,,,,,
PO018068NRP001,,PV,,,GAMBOLO',,,492857.0,5011583.0,45.25770645250831,8.90896135781428,100.934,100.934,53.5,1,46,49,NON DEFINITO,PIEZOMETRO,GWB ISS MPP,IT03GWBISSMPP,,,PTUA2022,,,,,,
PO018039NRP001,,PV,,,CASTELLO D'AGOGNA,,,474622.3907,5007946.95,45.22455521865299,8.676746467645437,107.215,108.345,58.0,1,33.46,51.46,ANTINCENDIO,POZZO,GWB ISS MPP,IT03GWBISSMPP,,,PTUA2022,,,,,,
PO0180690U0002,,PV,,,GARLASCO,,,494013.0,5004960.0,45.19809992494672,8.923774465554628,92.741,92.741,57.0,2,28,51,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,,PTUA2022,,,,,,
PO018147NUP001,,PV,,,SCALDASOLE,,,492497.439,4996514.77,45.12206431754044,8.90460554726539,86.584,87.544,60.0,3,7,50,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,,PTUA2022,,,,,,
PO018062NRD002,,PV,,,FERRERA ERBOGNONE,,,489193.0,4993809.0,45.097664891478715,8.862648406148372,86.799,86.459,20.0,1,1,15,NON DEFINITO,POZZO,GWB ISS MPP,IT03GWBISSMPP,,,PTUA2022,,,,,,
PO0180880U0001,,PV,,,MEDE,,,479549.0,4993807.0,45.0974337094121,8.740079011438807,92.936,92.936,53.0,1,30,48,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,,PTUA2022,,,,,,
PO018146NRP001,,PV,,,SARTIRANA LOMELLINA,,,473582.7089,4995758.07,45.1147987251862,8.664148913651337,99.039,99.039,50.0,1,39.5,43.5,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,,PTUA2022,,,,,,
PO018065NRG001,,PV,,,FRASCAROLO,,,476409.0,4987902.0,45.04418092411173,8.700449632530527,86.66,86.66,10.0,n.d.,n.d.,n.d.,INDUSTRIALE,PIEZOMETRO,GWB ISS MPP,IT03GWBISSMPP,,,PTUA2022,,,,,,
PO0150870U0001,,MI,,,CORNAREDO,,,501558.0,5037847.0,45.49415197913191,9.019939876318421,142.84,142.84,66.7,2,30.7,62.7,POTABILE,POZZO,GWB ISS MPTLN,IT03GWBISSMPTLN,,,PTUA2022,,,,,,
PO015146NU1496,0151461496,MI,FOG57,,MILANO,,,506073.0,5037830.0,45.49397425749584,9.077724318700698,135.68,135.68,15.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS MPTLN,IT03GWBISSMPTLN,,SCUOLA VIA SILLA 150,PTUA2022-FOG,,,,,135.63,
PO015211NUP001,0152110112,MI,,,SETTIMO MILANESE,,,503699.196,5038340.577,45.49858666333721,9.047347433117963,141.431,141.341,54.0,n.d.,n.d.,n.d.,POTABILE,PIEZOMETRO,GWB ISS MPTLN,IT03GWBISSMPTLN,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",PTUA2022,,,,,,
PO015146NU1378,0151461378,MI,FOG39,,MILANO,,,515287.0,5031505.0,45.436900954265056,9.195450900660996,111.174,111.174,14.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS MPTLN,IT03GWBISSMPTLN,,SCUOLA VIA ANTONINI 50,PTUA2022-Idroscalo2005-FOG,,,111.91,,111.91,
