CODICE,CODICE_SIF,CODICE_PTUA2003,PROVINCIA,COMUNE,DATA_INIZIO,X_WGS84,Y_WGS84,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,NOTE,lat,lon,z_PTUA2003,z_CAP,INFO_PTUA2003,FALDA,ORIGINE,INDIRIZZO
PO017029NR0003,,,BS,BRESCIA,01/01/2016,599429.0,5039811.0,0.0,0.0,30.0,2,12,30,MONITORAGGIO,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,,,45.5047407339196,10.272770367660772,,,,,,
PO0170450RC542,,,BS,CASTREZZATO,01/02/2010,578796.0,5040213.0,129.4,129.92,28.0,1,15,24,INDUSTRIALE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,,,45.510996050172906,10.008762779990322,,,,,,
PO0171130RC561,,,BS,MONTICHIARI,01/01/2009,605366.0,5033595.0,118.75,120.0,56.0,1,25,52,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,,,45.44793298041244,10.347414132436352,,,,,,
PO017113NRD106,,,BS,MONTICHIARI,01/01/2006,605200.0,5032183.0,111.68,111.28,41.8,1,29.8,41.8,INDUSTRIALE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,,,45.43525177295833,10.344989929636167,,,,,,
PO0171140UC023,,,BS,MONTIRONE,01/01/2006,596315.0,5033160.0,98.78,100.61,55.5,1,22.25,31.25,POTABILE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,,,45.44532494195361,10.231613454857763,,,,,,
PO0200170R0001,,,MN,CASTIGLIONE DELLE STIVIERE,01/01/2006,615368.0,5028467.0,105.253,105.253,28.0,1,18,28,NON DEFINITO,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,,,45.40020967766348,10.474076708501368,,,,,,
PO0170340RC481,,,BS,CALVISANO,01/01/2006,603498.0,5027951.0,85.95,85.8,10.0,1,4,10,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,SI,,45.397422703675936,10.322346307470406,,,,,,
PO020017NU0005,,,MN,CASTIGLIONE DELLE STIVIERE,01/05/2014,618058.0846,5027962.536,112.83,112.69,60.0,1,48,58,NON DEFINITO,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,SI,,45.39522173166024,10.50831573946654,,,,,,
PO0170340RC483,,,BS,CALVISANO,01/07/2009,604569.0,5024858.0,75.97,75.64,12.0,1,6,12,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,SI,,45.369429978262616,10.33537071371352,,,,,,
PO0130230U0003,,,CO,BINAGO,01/01/2006,492805.0,5069886.0,372.084,373.384,30.0,1,20.5,29.5,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.782496602020025,8.907442131473825,,,,,,
PO012002NU0008,,PO1200200800T0,VA,ALBIZZATE,01/09/2011,485002.0,5065315.0,313.8,315.12,48.5,1,18,28.5,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',45.741229132208446,8.807205017197962,317.9,,via G. Rossa 8 ,SUPERF.,PTUA2003,
PO012136NUZ001,,,VA,VENEGONO INFERIORE,01/08/2005,493230.0,5064390.0,315.709,316.009,67.0,2,28,55,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.73303295747794,8.912986328360603,,,,,,
PO0130280U0009,,,CO,BREGNANO,01/01/2006,503950.0,5061917.0,281.548,283.013,96.0,1,71,86,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.71079588069668,9.050748548918438,,,,,,
PO013029NU0003,,,CO,BRENNA,01/01/2006,514917.0,5064395.0,340.871,342.371,79.0,1,57,74,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.73295023124814,9.191725416485538,,,,,,
PO0130460U0001,,,CO,CARIMATE,01/01/2006,508142.0,5061966.0,250.348,253.598,61.0,3,41.41,58,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.71120030243424,9.10460700491566,,,,,,
PO013064NU0002,,,CO,CERMENATE,01/01/2006,506428.0,5061507.0,301.932,304.572,110.0,1,98.3,102.3,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.707086977440646,9.082579772156986,,,,,,
PO0131330U0009,,,CO,LOMAZZO,01/01/2006,502017.0,5061511.0,303.805,306.115,153.0,1,88,91,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.70714988625931,9.02591219447396,,,,,,
PO013143NUP001,,16,CO,MARIANO COMENSE,01/03/2015,513110.453,5061567.053,284.119,285.209,53.0,1,37,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.70753319647784,9.168429816929343,289.0,,Via per Novedrate  Pozzo 3   Pragma S.P.A,,PTUA2003,
PO0970200U0002,,,LC,CERNUSCO LOMBARDONE,01/01/2006,531019.0,5060365.0,254.711,256.57,40.0,1,22,36,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.696143185279375,9.398419833931262,,,,,,
PO0970480U0001,,,LC,MERATE,01/01/2001,530989.0,5061279.0,264.704,266.704,49.8,1,35,44,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.70437107786069,9.398092889491815,,,,,,
PO0120500RZ001,,,VA,CISLAGO,01/12/2005,495380.0,5054832.0,207.042,207.752,15.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.6470207268182,8.940710862731478,,,,,,
PO012070NU1007,,,VA,GALLARATE,01/01/2004,482391.0,5056403.0,252.806,254.856,65.0,4,32,55,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',45.66095290747508,8.773965068909195,,,,,,
PO0120790RZ001,,,VA,GORLA MINORE,01/12/2005,494757.0,5054445.0,241.321,241.521,50.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.64353294976908,8.932719987563429,,,,,,
PO012123NUP001,,,VA,SOMMA LOMBARDO,01/03/2015,477395.4323,5053944.915,228.186,231.736,100.0,1,58,88,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',45.63868335170768,8.709955269550052,,,,,,
PO0131310U0001,,,CO,LOCATE VARESINO,01/03/2012,494595.0,5059657.0,272.942,273.982,58.0,1,50,54,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.690444213933006,8.930583187476616,,,,,,
PO0131590U0001,,,CO,MOZZATE,01/01/2006,495957.0,5058515.0,260.0,261.965,102.5,2,40,98,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.680174545192166,8.9480849539333,,,,,,
PO0970200U0003,,,LC,CERNUSCO LOMBARDONE,01/01/2001,530490.0,5059489.0,246.905,248.915,50.0,1,37,43,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.688282134011416,9.391570292009895,,,,,,
PO0970610U0015,,,LC,OSNAGO,01/01/2006,529860.0,5057943.0,238.515,238.095,46.6,2,21.4,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.674394577407774,9.383384599241468,,,,,,
PO1080390U0026,,,MB,SEREGNO,01/03/2015,516742.2773,5056424.618,230.749,233.749,96.0,3,68,88,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.66116895719162,9.214910218116112,,,,,,
PO012026NU3021,,PO1202602103T0,VA,BUSTO ARSIZIO,01/01/2006,486383.0,5048270.0,201.672,204.682,102.0,2,42,95,INDUSTRIALE,POZZO ATTREZZATO CON PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',45.5878385047091,8.825434770924014,210.5,,ZONA INDUSTRIALE ,,PTUA2003,
PO0120750R2020,,,VA,GERENZANO,01/01/2006,498243.0,5052530.0,220.926,220.626,62.0,1,33.5,59,INDUSTRIALE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.62631377148765,8.977460464647569,,,,,,
PO012090NU2009,,,VA,LONATE POZZOLO,01/01/2006,477623.0,5050127.0,208.446,207.946,82.6,1,55,74,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',45.60432632285084,8.713050565367158,,,,,,
PO0121180U0005,,PO1211800500T0,VA,SAMARATE,01/01/2006,481042.0,5052887.0,223.767,226.067,80.0,2,50,72,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',45.62927043532758,8.756785997346258,223.7,,via Mezzomonte - C. Costa ,SUPERF.,PTUA2003,
PO0121300RZ001,,,VA,UBOLDO,01/11/2005,497814.0,5049212.0,203.65,204.2,45.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.596447373390106,8.971971952273773,,,,,,
PO0151810U0001,0151810001,,MI,RESCALDINA,01/01/2005,496110.0,5051398.0,222.44,222.54,81.7,2,51.7,73.7,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.61611603135312,8.950106488910535,180.25,,via Melzi-Comune I,1,PTUA2003,
PO015219NU0009,,,MI,TREZZANO ROSA,01/03/2015,537519.0517,5047771.168,168.999,170.379,45.0,1,34,40.5,POTABILE,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",45.58246952641665,9.480935506816804,,,,,,
PO0152210U0001,0152210001,,MI,TREZZO SULL'ADDA,01/01/2006,540511.0,5051067.0,150.393,150.393,32.98,1,17,32,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",45.6119661346521,9.519559768178947,141.68,,via Visconti,1,PTUA2003,
PO108023NU0003,0151000003,,MB,DESIO,01/01/2006,516261.0,5051920.0,199.167,199.167,78.0,3,42,65,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.62063500742705,9.208581900085925,146.19,,via Torricelli,1,PTUA2003,
PO1080310U0001,,,MB,MEZZAGO,01/01/2006,534712.0,5052931.0,220.664,220.664,75.2,1,54,74.65,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.629057420293165,9.445321958810917,,,,,,
PO108033NR0142,,,MB,MONZA,01/01/2006,522621.0,5051383.0,178.79,178.79,42.0,1,10.5,31.5,IRRIGUO,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.61562348348247,9.290136587843271,,,,,,
PO1080350U0024,,,MB,NOVA MILANESE,01/01/1999,514972.0,5048824.0,174.02,176.6,85.0,2,50,79,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.592797162451646,9.191952763436625,,,,,,
PO1080210U0002,,,MB,CONCOREZZO,01/01/2006,525376.0,5047357.0,162.45,162.45,56.0,1,32,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.57929091184946,9.325262200691904,,,,,,
