CODICE,ORIGINE,lat,lon
0151461312,FOG,45.48204197509303,9.242258809625767
0151461161,FOG,45.447842946266746,9.20273935926081
0151461374,FOG,45.43861515076252,9.22300986337314
0151461375,FOG,45.43103204980172,9.246962575920863
0151461435,FOG,45.43846576156505,9.126248275687379
0151461376,FOG,45.43879382263438,9.223700989577726
0151461535,FOG,45.503540798354386,9.119993125470616
0151461119,FOG,45.45408768368235,9.17679987634677
0151461486,FOG,45.462503471158186,9.129896036459915
0151461462,FOG,45.450066953302475,9.142578996227252
0151461417,FOG,45.44011926475984,9.176014744932559
0151461162,FOG,45.452012414854345,9.17421010622852
0151461377,FOG,45.43135619467033,9.200929021463953
0151461378,FOG,45.436910364468574,9.195438281075603
0151461121,FOG,45.46689686473682,9.170392685679944
0151461379,FOG,45.41761751305437,9.239874710833865
0151461487,FOG,45.464200202627545,9.087074450226515
0151461495,FOG,45.492087819031255,9.105507501690436
0151461496,FOG,45.493973229869965,9.077713541777463
0151461488,FOG,45.477556432809955,9.08873262042335
0151461489,FOG,45.448648543289764,9.070912351794062
0151461354,FOG,45.44372585741783,9.24589264708829
