CODICE,COMUNE,x,y,z,INFO,PROVINCIA,STRAT.,FALDA,SETTORE
180720001,GIUSSAGO,1511200,5014410,91.2,v.25 aprile-scuola,,,,
151080002,GORGONZOLA,1532076,5042266,121.42,v. Manzoni,,,,
980280001,GRAFFIGNANA,1535471,5006700,64.27,via Milano - serb.,LO,X,2,23
151100001,GREZZAGO,1538450,5048995,138.31,via Roma-serb.,,,,
151120002,GUDO VISCONTI,1499888,5024427,110.35,v.Montegrappa,,,,
151150001,LACCHIARELLA,1510746,5019039,92.74,v.Trento,,,,
151160009,LAINATE,1502320,5047210,180,Caronasca,,,,
151160008,LAINATE,1502330,5047200,180,Caronasca,MI - Par.,X,2,11
180780001,LANDRIANO,1520470,5017665,85.5,p.za Marconi,,,,
151170003,LAZZATE,1506590,5058730,188.9,v.S.Lorenzo-serb.,,,,
151170001,LAZZATE,1506710,5057630,185.21,Chiesa,,,,
151190001,LENTATE,1509520,5058340,192.31,via S.Vito-Chiesa,,,,
151250001,LOCATE TRIULZI,1517340,5022650,89.62,p.Gramsci,MI - Città,X,2,20
151250004,LOCATE TRIULZI,1517730,5022245,94.7,v.Nenni,,,,
980320002,LODIVECCHIO,1532570,5016525,74.23,via Cabrini-serb.,LO,X,2,21
980330001,MACCASTORNA,1567299,4999597,38.85,via Roma,LO,X,2,24
151300021,MAGENTA,1489910,5035170,134.21,via Piemonte-Nova C.,,,,
980350002,MALEO,1560100,5001920,44.76,p.za 25 Aprile,LO,X,1,24
151340001,MARCALLO CON CASONE,1490207,5037106,139.53,via dell'Acquedotto,,,,
151340046,MARCALLO CON CASONE,1490290,5037075,138.34,via Clerici 4/5/6,,,,
151340004,MARCALLO CON CASONE,1490290,5037075,137.44,via Clerici 4/5/6,MI - Par.,X,3,10
codice_mancante_1,MASATE,1537385,5045310,150,v.Bergamasca,,,,
151360003,MEDIGLIA,1526600,5028740,92.04,v.Stephenson,,,,
151390001,MEZZAGO,1534749,5052944,177.99,via Unione,MI - Città,X,2,18
151450001,MILANO,1518330,5029870,105,AMSA via Dionigi,MI,,,9
151460000,MILANO,1518330,5029870,105,AMSA via Dionigi,,,,
D151460000,MIRADOLO TERME,1535650,5001980,71.5,via Baratti,,,,
180930002,MONTANASO LOMBARDO,1535877,5019968,71.24,Comune,,,,
980400001,MONZA,1522947,5051402,166.86,Parco-Golf Club,,,,
151490142,MONZA,1521145,5046503,130.47,Garbagnati via Val d'Ossola,,,,
151500013,MORIMONDO,1497395,5018890,106.5,C.na Fallavecchia,MI - Par.,,2,19
151520030,MUGGIÒ,1517175,5045310,135.46,pozzo Impianto Pilota,,,,
980410001,MULAZZANO,1531414,5024506,84.74,via Lago Maggiore,,,,
151540003,NERVIANO,1498550,5044810,154.6,via Chinotto-serb.II,,,,
151540064,NERVIANO,,,,Cantone 64,,,,
151540065,NERVIANO,1498320,5043055,166,Cantone 65,MI - Par.,X,3,11
151540066,NERVIANO,,,,Cantone piez,,,,
151540007,NERVIANO PASUBIO,1497539,5044446,174.58,sopra,,,,
D151540007,NERVIANO PASUBIO,1497539,5044446,174.58,sotto,,,,
151560024,NOVA MILANESE,1514995,5048680,138.04,via Grandi,,,,
151570002,NOVATE MILANESE,1510867,5042285,121.6,via Manzoni-serb.II,,,,
151590004,OPERA,1516913,5027004,93.62,Mirasole,,,,
980420003,ORIO LITTA,1543820,5000952,51.5,via Pio Rossi,LO,X,1,24
151640003,OSSONA,1492289,5039131,146.23,via 25 Aprile-Marconi,,,,
151650025,OZZERO,1494215,5023750,107.5,v.25 Aprile-Faraon,MI,,,19
151660003,PADERNO DUGNANO,1512878,5046812,133.78,via S.M.del Carso,,,,
151660007,PADERNO DUGNANO,1514450,5046495,131.61,Calderara,,,,
151660019,PADERNO DUGNANO,1513210,5047990,172,v.Galli,,,,
151670001,PANTIGLIATE,1527170,5032050,97.39,v.D'Annunzio,MI - Città,,2,18
181100101,PAVIA,1508425,5007685,85.3,C.na Montebello,,,,
151700005,PERO,1506621,5039129,139.87,Bergamina,,,,
151710024,PESCHIERA BORROMEO,1522950,5032800,102.2,Depuratore,,,,
151710197,PESCHIERA BORROMEO,1522946,5032854,105.61,FEM Mezzate,MI - Città,,1,17
980450001,PIEVE FISSIRAGA,1535548,5013741,72.89,C.na S.Antonio,,,,
181140002,PIEVE PORTO MORONE,1534790,4995405,54.7,via Repubblica,,,,
151750289,PIOLTELLO,1525025,5036125,112.5,FEM Limito,,,,
151750006,PIOLTELLO,1525252,5038044,109.3,via Pisa,,,,
151750008,PIOTELLO,1525340,5039735,126.16,S.Francesco,,,,
151750291+C132,PIOTELLO,1525340,5039735,126.16,S.Francesco piez.,,,,
151760002,POGLIANO MILANESE,1499485,5042120,162.5,Garibaldi,,,,
151790040,PREGNANA MILANESE,1499516,5042096,143.48,via Gallarate,,,,
151790005,PREGNANA MILANESE,1499516,5042096,140.68,via Gallarate,,,,
151810001,RESCALDINA,1496200,5051450,180.25,via Melzi-Comune I,MI - Par.,X,1,6
151820106,RHO,1503760,5039860,138.59,Alumix spa via S.Martino,MI - Par.,,1,11
151830028,ROBECCHETTO CON INDUNO,1482745,5041027,144.3,via Don Pozzi,,,,
151840023,ROBECCO SUL NAVIGLIO,1488730,5030170,107.78,C.na Visconta,,,,
151850001,RODANO,1528061,5035495,103.16,via S.Pellico,,,,
151850004,RODANO,1528135,5035520,110.5,via S.Pellico,MI - Città,X,3,17
151860001,RONCELLO,1535790,5049790,158.39,S.Ambrogio-serb.,MI - MONZA,X,2,9
151870001,RONCO BRIANTINO,1531348,5057132,210.11,via Mandelli-serb.,,,,
151880001,ROSATE,1501271,5021782,105.59,p.za Vitt.Veneto,,,,
151890001,ROZZANO,1511429,5024772,103.4,via Matteotti,,,,
980500005,SANT'ANGELO LODIGIANO,1532041,5007048,68.25,fraz.Ranera,LO,X,1,23
151910009,SAN COLOMBANO AL LAMBRO,1539965,5001295,55.45,Mostiola,,,,
181390002,SANTA CRISTINA E BISSONE,1531095,5000710,70,via Milano,,,,
151920005,SAN DONATO,1520822,5030727,103.19,v.A.Moro,,,,
151950007,SAN GIULIANO,1519358,5026813,95.41,Maroncelli,,,,
151950012,SAN GIULIANO,1520795,5027435,99,v. Liberazione,,,,
151950015,SAN GIULIANO,1523855,5025495,93.5,v.Tolstoy,,,,
