CODICE,x,y,z,COMUNE,INFO,PROVINCIA,SETTORE,STRAT.,FALDA,ORIGINE
0980200001,1536534.0,5032132.0,93.02,COMAZZO,p.za Caduti,LO,21.0,X,2,PTUA2003
0150840002,1525400.0,5046340.0,137.97,CONCOREZZO,S.P.13 Malcantone,MI,9.0,,,PTUA2003
0150840024,1526728.0,5049528.0,,CONCOREZZO,v.Pascoli,,,,,PTUA2003
0150850004,1494180.0,5034180.0,132.09,CORBETTA,v.Veneto x Batuello,MI - Par.,15.0,X,1,PTUA2003
0150850002,1493533.0,5035152.0,139.86,CORBETTA,v.Oberdan,,,,,PTUA2003
0150860002,1512580.0,5043085.0,121.54,CORMANO,via Somalia,,,,,PTUA2003
0150870001,1501530.0,5037775.0,136.84,CORNAREDO,Campo Sportivo I,MI - Par.,16.0,,1,PTUA2003
0150870003,1501081.0,5036901.0,134.57,CORNAREDO,v.Marconi,,,,,PTUA2003
0980230001,1562792.0,5056473.0,40.29,CORNOVECCHIO,Municipio,,,,,PTUA2003
0150920001,1523496.0,5056835.0,214.84,CORREZZANA,via S.Francesco,,,,,PTUA2003
0150920003,1523723.0,5056321.0,247.15,CORREZZANA,v.Fermi,MI - MONZA,4.0,X,3,PTUA2003
0150960014,1485070.0,5040190.0,147.96,CUGGIONO,via Somma-Zucchi,,,,,PTUA2003
0150970003,1502660.0,5033450.0,127.1,CUSAGO,v.Cervi fino a 5/99 p.1,MI - Par.,16.0,X,3,PTUA2003
0150980004,1513764.0,5043930.0,159.29,CUSANO MILANINO,p.Italia,,,,,PTUA2003
0150980028,1514126.0,5044416.0,152.11,CUSANO MILANINO,v.Pedretti,,,,,PTUA2003
0151000003,1516295.0,5051936.0,146.19,DESIO,via Torricelli,MI - MONZA,8.0,X,1,PTUA2003
0980260002,1554292.0,4998880.0,42.26,FOMBIO,via Giovanni XXIII,LO,24.0,X,2,PTUA2003
0151050002,1505950.0,5046890.0,153.19,GARBAGNATE,v.Varese I-scuole,,,,,PTUA2003
0180700001,1527575.0,5002880.0,72.5,GENZONE,via Cairoli,,,,,PTUA2003
0151060008,1534449.0,5044895.0,128.3,GESSATE,p.za Aturia,MI-Città,14.0,,1,PTUA2003
0180720001,1511200.0,5014410.0,91.2,GIUSSAGO,v.25 aprile-scuola,,,,,PTUA2003
0151080002,1532076.0,5042266.0,121.42,GORGONZOLA,v. Manzoni,,,,,PTUA2003
0980280001,1535471.0,5006700.0,64.27,GRAFFIGNANA,via Milano - serb.,LO,23.0,X,2,PTUA2003
0151100001,1538450.0,5048995.0,138.31,GREZZAGO,via Roma-serb.,,,,,PTUA2003
0151120002,1499888.0,5024427.0,110.35,GUDO VISCONTI,v.Montegrappa,,,,,PTUA2003
0151150001,1510746.0,5019039.0,92.74,LACCHIARELLA,v.Trento,,,,,PTUA2003
0151160009,1502320.0,5047210.0,180.0,LAINATE,Caronasca,,,,,PTUA2003
0151160008,1502330.0,5047200.0,180.0,LAINATE,Caronasca,MI - Par.,11.0,X,2,PTUA2003
0180780001,1520470.0,5017665.0,85.5,LANDRIANO,p.za Marconi,,,,,PTUA2003
0151170003,1506590.0,5058730.0,188.9,LAZZATE,v.S.Lorenzo-serb.,,,,,PTUA2003
0151170001,1506710.0,5057630.0,185.21,LAZZATE,Chiesa,,,,,PTUA2003
0151190001,1509520.0,5058340.0,192.31,LENTATE,via S.Vito-Chiesa,,,,,PTUA2003
0151250001,1517340.0,5022650.0,89.62,LOCATE TRIULZI,p.Gramsci,MI - Città,20.0,X,2,PTUA2003
0151250004,1517730.0,5022245.0,94.7,LOCATE TRIULZI,v.Nenni,,,,,PTUA2003
0980320002,1532570.0,5016525.0,74.23,LODIVECCHIO,via Cabrini-serb.,LO,21.0,X,2,PTUA2003
0980330001,1567299.0,4999597.0,38.85,MACCASTORNA,via Roma,LO,24.0,X,2,PTUA2003
0151300021,1489910.0,5035170.0,134.21,MAGENTA,via Piemonte-Nova C.,,,,,PTUA2003
0980350002,1560100.0,5001920.0,44.76,MALEO,p.za 25 Aprile,LO,24.0,X,1,PTUA2003
0151340001,1490207.0,5037106.0,139.53,MARCALLO CON CASONE,via dell'Acquedotto,,,,,PTUA2003
0151340046,1490290.0,5037075.0,138.34,MARCALLO CON CASONE,via Clerici 4/5/6,,,,,PTUA2003
0151340004,1490290.0,5037075.0,137.44,MARCALLO CON CASONE,via Clerici 4/5/6,MI - Par.,10.0,X,3,PTUA2003
0codice_mancante_1,1537385.0,5045310.0,150.0,MASATE,v.Bergamasca,,,,,PTUA2003
0151360003,1526600.0,5028740.0,92.04,MEDIGLIA,v.Stephenson,,,,,PTUA2003
0151390001,1534749.0,5052944.0,177.99,MEZZAGO,via Unione,MI - Città,18.0,X,2,PTUA2003
0151450001,1518330.0,5029870.0,105.0,MILANO,AMSA via Dionigi,MI,9.0,,,PTUA2003
0151460000,1518330.0,5029870.0,105.0,MILANO,AMSA via Dionigi,,,,,PTUA2003
