CodiceSIF,COD_LOCALE,TIPO,TIPOLOGIA,COMPARTO,COMUNE,X_GB,Y_GB,QUOTA,PROF,FILTRO_DA,FILTRO_A
0152090534,PzPC13A,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519840.686,5042635.36,139.055,40,10,37
0152090535,PzPC13B,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519836.766,5042632.223,138.834,40,10,37
0152090536,PzPC17A,PIE,SUP,CONCORDIA,Sesto San Giovanni,1520090.114,5042830.08,138.884,40,10,37
0152090537,PzPC17B,PIE,SUP,CONCORDIA,Sesto San Giovanni,1520093.857,5042833.342,138.664,37,9,37
0152090538,PzPC17C,PIE,SUP,CONCORDIA,Sesto San Giovanni,1520101.553,5042839.601,138.77,37,9,37
0152090542,PzV-PC1,PIE,SUP,ESTERNO,Sesto San Giovanni,1519450.762,5042507.631,142.316,40,12,40
0152090543,PzV-PC2,PIE,SUP,ESTERNO,Sesto San Giovanni,1519609.244,5042434.906,140.31,40,12,40
0152090544,PzC15,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519722.385,5042684.75,142.239,40,12,40
0152090545,PzC16,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519654.087,5042786.839,142.114,40,12,40
0152090546,PzC17,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519604.849,5042880.549,142.068,40,12,40
0152090547,PzC18,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519522.699,5042901.635,142.19,40,12,40
0152090548,PzC19,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519428.312,5042923.114,142.915,40,12,40
0152090549,PzC20,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519436.8,5042829.459,142.37,40,12,40
0152090550,PzC21,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519494.796,5042808.368,142.295,40,12,40
0152090551,PzC22,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519579.13,5042754.335,142.219,40,12,40
0152090552,PzC24,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519482.202,5042702.477,141.851,40,12,40
0152090553,PzC27,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519758.88,5043060.44,142.204,40,12,40
PC3,PC3,POZ,SUP,CONCORDIA,Sesto San Giovanni,1519429.87,5042611.09,-999,40,16,36
PC4,PC4,POZ,SUP,CONCORDIA,Sesto San Giovanni,1519470.36,5042583.7,-999,40,16,36
PC9,PC9,POZ,SUP,CONCORDIA,Sesto San Giovanni,1519678,5042557.01,-999,40,16,36
PC10,PC10,POZ,SUP,CONCORDIA,Sesto San Giovanni,1519701.7,5042540.12,-999,40,16,36
PC12,PC12,POZ,SUP,CONCORDIA,Sesto San Giovanni,1519800.57,5042604.79,-999,40,16,36
PC13,PC13,POZ,SUP,CONCORDIA,Sesto San Giovanni,1519844.26,5042638.3,-999,40,16,36
PC17,PC17,POZ,SUP,CONCORDIA,Sesto San Giovanni,1520085.99,5042827.33,-999,40,16,36
0152090393,Pz 1,PIE,SUP,CAVA MELZI,Sesto San Giovanni,1520042,5042701,-999,27,0,25
0152090394,Pz 2,PIE,SUP,CAVA MELZI,Sesto San Giovanni,1520246,5042956,-999,27,0,25
0152090396,Pz 4,PIE,SUP,CAVA MELZI,Sesto San Giovanni,1520243,5042487,-999,27,0,25
0152090464,Pz 5,PIE,SUP,CAVA MELZI,Sesto San Giovanni,1520625,5042695,-999,27,0,25
