CodiceSIF,COD_LOCALE,TIPO,TIPOLOGIA,COMPARTO,COMUNE,X_GB,Y_GB,QUOTA,PROF,FILTRO_DA,FILTRO_A
0152090309,CO.PP.005,PIE,PROF,CONCORDIA,Sesto San Giovanni,1520176.34,5043108.72,142.27,70,43,70
0152090310,CO.PS.005,PIE,SUP,CONCORDIA,Sesto San Giovanni,1520179.68,5043114.89,142.28,30,18,30
0152090311,CO.PP.006,PIE,PROF,CONCORDIA,Sesto San Giovanni,1520094.24,5043305.81,141.18,70,43,70
0152090312,CO.PS.006,PIE,SUP,CONCORDIA,Sesto San Giovanni,1520092.84,5043299.47,141.36,30,18,30
0152090317,PP3,PIE,PROF,ABB-Marelli,Sesto San Giovanni,1518246,5041330,135.61,53,-999,-999
0152090318,PS3,PIE,SUP,ABB-Marelli,Sesto San Giovanni,1518249,5041333,135.71,-999,-999,-999
0152090319,PP4,PIE,PROF,ABB-Marelli,Sesto San Giovanni,1518263,5041118,135.5,-999,-999,-999
0152090320,PS4,PIE,SUP,ABB-Marelli,Sesto San Giovanni,1518269,5041120,135.4,-999,-999,-999
0152090321,PP5,PIE,PROF,ABB-Marelli,Sesto San Giovanni,1518445,5041146,135.4,-999,-999,-999
0152090322,PS5,PIE,SUP,ABB-Marelli,Sesto San Giovanni,1518440,5041145,137.142,-999,-999,-999
0152090323,PP6,PIE,PROF,ABB-Marelli,Sesto San Giovanni,1518564,5041036,135.5,-999,-999,-999
0152090324,PS6,PIE,SUP,ABB-Marelli,Sesto San Giovanni,1518571,5041040,135.5,-999,-999,-999
0152090325,PP7,PIE,PROF,ABB-Marelli,Sesto San Giovanni,1518316,5040871,134.91,-999,-999,-999
0152090326,PS7,PIE,SUP,ABB-Marelli,Sesto San Giovanni,1518323,5040874,134.97,-999,-999,-999
0152090327,PP8,PIE,PROF,ABB-Marelli,Sesto San Giovanni,1518512,5040955,135.81,-999,-999,-999
0152090328,PS8,PIE,SUP,ABB-Marelli,Sesto San Giovanni,1518518,5040957,135.55,-999,-999,-999
0152090329,TO.PP.001,PIE,PROF,TRIANGOLO,Sesto San Giovanni,1520050.51,5043710.91,144.62,70,43,70
0152090330,TO.PS.001,PIE,SUP,TRIANGOLO,Sesto San Giovanni,1520044.83,5043714.01,144.88,30,18,30
0152090331,TI.PP.001,PIE,PROF,TRAI,Sesto San Giovanni,1519840.56,5042430.38,139.27,70,43,70
0152090332,TI.PS.001,PIE,SUP,TRAI,Sesto San Giovanni,1519836.82,5042433.46,139.41,30,18,30
0152090333,TI.PP.002,PIE,PROF,TRAI,Sesto San Giovanni,1519910.72,5042638.57,140.16,70,43,70
0152090334,TI.PS.002,PIE,SUP,TRAI,Sesto San Giovanni,1519912.49,5042635.51,140.27,30,18,30
0152090335,UN.PP.001,PIE,PROF,UNIONE,Sesto San Giovanni,1519317.05,5042872.12,142.65,70,43,70
0152090336,UN.PS.001,PIE,SUP,UNIONE,Sesto San Giovanni,1519311.44,5042869.44,142.55,30,18,30
0152090337,UN.PP.002,PIE,PROF,UNIONE,Sesto San Giovanni,1519145.52,5043007.83,143.49,70,43,70
0152090338,UN.PS.002,PIE,SUP,UNIONE,Sesto San Giovanni,1519148.72,5043003.03,143.57,30,18,30
0152090339,UN.PP.003,PIE,PROF,UNIONE,Sesto San Giovanni,1519013.44,5043328.71,143.24,70,43,70
0152090340,UN.PS.003,PIE,SUP,UNIONE,Sesto San Giovanni,1519016.54,5043333.05,142.08,30,18,30
0152090341,UN.PP.004,PIE,PROF,UNIONE,Sesto San Giovanni,1519387.71,5043315.34,144.45,70,43,70
0152090342,UN.PS.004,PIE,SUP,UNIONE,Sesto San Giovanni,1519381.59,5043311.24,144.4,30,18,30
0152090343,UN.PP.005,PIE,PROF,UNIONE,Sesto San Giovanni,1519616.85,5043276.35,143.72,70,43,70
0152090344,UN.PS.005,PIE,SUP,UNIONE,Sesto San Giovanni,1519622.3,5043273.02,143.71,30,18,30
0152090345,UN.PP.006,PIE,PROF,UNIONE,Sesto San Giovanni,1519179.43,5043560.24,143.61,70,43,70
0152090346,UN.PS.006,PIE,SUP,UNIONE,Sesto San Giovanni,1519181.95,5043564.91,142.77,30,18,30
0152090347,UN.PP.007,PIE,PROF,UNIONE,Sesto San Giovanni,1519486.69,5043639.61,141.04,70,43,70
0152090348,UN.PS.007,PIE,SUP,UNIONE,Sesto San Giovanni,1519482.26,5043636.77,140.59,30,18,30
0152090349,UN.PP.008,PIE,PROF,UNIONE,Sesto San Giovanni,1519746.92,5043676.83,144.66,70,43,70
0152090350,UN.PS.008,PIE,SUP,UNIONE,Sesto San Giovanni,1519754.23,5043668.64,144.63,30,18,30
0152090351,TS.PS.001,PIE,SUP,TRANSIDER,Sesto San Giovanni,1519263.73,5041911.48,139.13,30,18,30
0152090352,TS.PS.002,PIE,SUP,TRANSIDER,Sesto San Giovanni,1519054.4,5041823.88,138.77,30,18,30
0152090353,CN.PP.001,PIE,PROF,AREA_22,Sesto San Giovanni,1519709.5,5043431.41,144,70,43,70
0152090354,CN.PS.001,PIE,SUP,AREA_22,Sesto San Giovanni,1519707.2,5043433.54,144.03,30,18,30
0152090355,CN.PS.002,PIE,SUP,AREA_22,Sesto San Giovanni,1519738.65,5043497.55,143.71,30,18,30
0152090356,CN.PP.002,PIE,PROF,AREA_22,Sesto San Giovanni,1519741.15,5043496.28,143.79,70,43,70
0152090357,PzS 2,PIE,PROF,DECA_PASSAVANT,Sesto San Giovanni,1519573.72,5043726.05,144.64,54,-999,-999
0152090358,PZ3,PIE,PROF,DECA_PASSAVANT,Sesto San Giovanni,1519851.16,5043614.71,143.7,54,-999,-999
0152090359,DEPZ4,PIE,PROF,DECA_PASSAVANT,Sesto San Giovanni,1519979,5043780,144.4,54,-999,-999
0152090360,Pz 05,PIE,PROF,DECA_PASSAVANT,Sesto San Giovanni,1519773.43,5043842.04,144.76,54,-999,-999
0152090361,PZ2S,PIE,SUP,DECA_PASSAVANT,Sesto San Giovanni,1519573.72,5043726.05,144.64,30,-999,-999
0152090362,PzS 3,PIE,SUP,DECA_PASSAVANT,Sesto San Giovanni,1519851.16,5043614.71,143.68,30,-999,-999
0152090363,DEPZS4,PIE,SUP,DECA_PASSAVANT,Sesto San Giovanni,1519980,5043784,144.45,30,-999,-999
0152090364,PzS 5,PIE,SUP,DECA_PASSAVANT,Sesto San Giovanni,1519773.43,5043842.04,144.71,30,-999,-999
