CODICE,ORIGINE,COMUNE,INDIRIZZO,X,Y,Z
0980410001,CAP                                                                                                                                                                                                                                                           ,MULAZZANO                                                                                                                                                                                                                                                     ,via Lago Maggiore                                                                                                                                                                                                                                             ,1531414.0,5024506.0,90.43
0980420003,CAP                                                                                                                                                                                                                                                           ,ORIO LITTA                                                                                                                                                                                                                                                    ,via Pio Rossi                                                                                                                                                                                                                                                 ,1543820.0,5000952.0,65.02
0980450001,CAP                                                                                                                                                                                                                                                           ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548.0,5013741.0,78.92
0181140002,CAP                                                                                                                                                                                                                                                           ,PIEVE PORTO MORONE                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,1534790.0,4995405.0,54.68
0151910009,CAP                                                                                                                                                                                                                                                           ,SAN COLOMBANO AL LAMBRO                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,1539965.0,5001295.0,66.78
0980480003,CAP                                                                                                                                                                                                                                                           ,SAN MARTINO IN STRADA                                                                                                                                                                                                                                         ,via F.Aporti-serb.                                                                                                                                                                                                                                            ,1541513.0,5013415.0,73.19
0980480004,CAP                                                                                                                                                                                                                                                           ,SAN MARTINO IN STRADA                                                                                                                                                                                                                                         ,via F.Aporti-serb.                                                                                                                                                                                                                                            ,1541540.0,5013330.0,73.24
0980490001,CAP                                                                                                                                                                                                                                                           ,SAN ROCCO AL PORTO                                                                                                                                                                                                                                            ,via Acquedotto                                                                                                                                                                                                                                                ,1554770.0,4992220.0,51.92
0980500005,CAP                                                                                                                                                                                                                                                           ,SANT'ANGELO LODIGIANO                                                                                                                                                                                                                                         ,fraz.Ranera                                                                                                                                                                                                                                                   ,1532041.0,5007048.0,74.38
0980530003,CAP                                                                                                                                                                                                                                                           ,SENNA LODIGIANA                                                                                                                                                                                                                                               ,via Acquedotto                                                                                                                                                                                                                                                ,1546645.0,4999934.0,60.91
0980560001,CAP                                                                                                                                                                                                                                                           ,TAVAZZANO CON VILLAVESCO                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                              ,1531871.0,5020056.0,82.34
0152220001,CAP                                                                                                                                                                                                                                                           ,TRIBIANO                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                              ,1528826.0,5027968.0,94.58
0152230001,CAP                                                                                                                                                                                                                                                           ,TRIBIANO                                                                                                                                                                                                                                                      ,Puccini                                                                                                                                                                                                                                                       ,1528826.0,5027968.0,94.58
0980580002,CAP                                                                                                                                                                                                                                                           ,TURANO LODIGIANO                                                                                                                                                                                                                                              ,via 25 Aprile                                                                                                                                                                                                                                                 ,1548759.0,5010831.0,65.49
0980590001,CAP                                                                                                                                                                                                                                                           ,VALERA FRATTA                                                                                                                                                                                                                                                 ,serb. scuola materna                                                                                                                                                                                                                                          ,1526403.0,5011526.0,77.81
0181800003,CAP                                                                                                                                                                                                                                                           ,VILLANTERIO                                                                                                                                                                                                                                                   ,fraz.Bolognola                                                                                                                                                                                                                                                ,1526970.0,5009965.0,75.96
0980610001,CAP                                                                                                                                                                                                                                                           ,ZELO BUON PERSICO                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                              ,1533977.0,5028730.0,94.59
0150150001,CAP                                                                                                                                                                                                                                                           ,BASIGLIO                                                                                                                                                                                                                                                      ,Piazza Rossi-Chiesa                                                                                                                                                                                                                                           ,1512869.868,5021817.217,96.68
0150150005,CAP                                                                                                                                                                                                                                                           ,BASIGLIO                                                                                                                                                                                                                                                      ,Vivaldi                                                                                                                                                                                                                                                       ,1512117.972,5023730.734,102.23
0980020001,CAP                                                                                                                                                                                                                                                           ,BERTONICO                                                                                                                                                                                                                                                     ,via Garibaldi                                                                                                                                                                                                                                                 ,1552834.0,5009331.0,62.65
0980020002,CAP                                                                                                                                                                                                                                                           ,BERTONICO                                                                                                                                                                                                                                                     ,via Garibaldi                                                                                                                                                                                                                                                 ,1552858.0,5009264.0,62.29
0980060001,CAP                                                                                                                                                                                                                                                           ,BREMBIO                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,1545041.0,5006864.0,66.42
0150500002,CAP                                                                                                                                                                                                                                                           ,CARPIANO                                                                                                                                                                                                                                                      ,delle Arti                                                                                                                                                                                                                                                    ,1521220.595,5020704.055,88.49
0151150001,CAP                                                                                                                                                                                                                                                           ,LACCHIARELLA                                                                                                                                                                                                                                                  ,Via Trento                                                                                                                                                                                                                                                    ,1510748.871,5019046.171,95.22
0151220001,CAP                                                                                                                                                                                                                                                           ,LISCATE                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,1531948.307,5036644.735,112.44
0151250001,CAP                                                                                                                                                                                                                                                           ,LOCATE DI TRIULZI                                                                                                                                                                                                                                             ,Piazza Gramsci                                                                                                                                                                                                                                                ,1517414.859,5022682.332,94.84
0151250004,CAP                                                                                                                                                                                                                                                           ,LOCATE DI TRIULZI                                                                                                                                                                                                                                             ,Via Nenni                                                                                                                                                                                                                                                     ,1517851.851,5022283.909,94.99
0151390001,CAP                                                                                                                                                                                                                                                           ,MEDIGLIA                                                                                                                                                                                                                                                      ,Via Stephenson                                                                                                                                                                                                                                                ,1526614.682,5028763.748,96.34
01080310001,CAP                                                                                                                                                                                                                                                           ,MEDIGLIA                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                              ,1526614.682,5028763.748,96.34
0151400003,CAP                                                                                                                                                                                                                                                           ,MELEGNANO                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,1525299.0,5023271.0,92.47
0180930002,CAP                                                                                                                                                                                                                                                           ,MIRADOLO TERME                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                              ,1535650.0,5001980.0,68.88
0151590002,CAP                                                                                                                                                                                                                                                           ,OPERA                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                              ,1516476.998,5024983.261,98.41
0151590004,CAP                                                                                                                                                                                                                                                           ,OPERA                                                                                                                                                                                                                                                         ,Mirasole                                                                                                                                                                                                                                                      ,1516911.686,5026997.298,103.52
0151670001,CAP                                                                                                                                                                                                                                                           ,PANTIGLIATE                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                              ,1527808.97,5032030.97,102.37
0151710001,CAP                                                                                                                                                                                                                                                           ,PESCHIERA BORROMEO                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,1524591.785,5031180.092,100.3
0151710024,CAP                                                                                                                                                                                                                                                           ,PESCHIERA BORROMEO                                                                                                                                                                                                                                            ,Depuratore                                                                                                                                                                                                                                                    ,1523294.867,5029865.267,96.75
0151710197,CAP                                                                                                                                                                                                                                                           ,PESCHIERA BORROMEO                                                                                                                                                                                                                                            ,FEM Mezzate                                                                                                                                                                                                                                                   ,1522946.0,5030000.0,98.53
0151750003,CAP                                                                                                                                                                                                                                                           ,PIOLTELLO                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,1525282.939,5036582.601,113.76
0151750289,CAP                                                                                                                                                                                                                                                           ,PIOLTELLO                                                                                                                                                                                                                                                     ,FEM Limito                                                                                                                                                                                                                                                    ,1525025.0,5036125.0,113.01
0151850001,CAP                                                                                                                                                                                                                                                           ,RODANO                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                              ,1528072.307,5035498.719,110.41
0151850004,CAP                                                                                                                                                                                                                                                           ,RODANO                                                                                                                                                                                                                                                        ,via S.Pellico                                                                                                                                                                                                                                                 ,1528143.399,5035524.179,110.26
0151890001,CAP                                                                                                                                                                                                                                                           ,ROZZANO                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,1511442.773,5024760.111,101.91
0151920002,CAP                                                                                                                                                                                                                                                           ,SAN DONATO MILANESE                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                              ,1520327.026,5029526.188,101.61
0151920005,CAP                                                                                                                                                                                                                                                           ,SAN DONATO MILANESE                                                                                                                                                                                                                                           ,Via A.Moro                                                                                                                                                                                                                                                    ,1520838.642,5030695.592,103.18
0151920023,CAP                                                                                                                                                                                                                                                           ,SAN DONATO MILANESE                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                              ,1519835.0,5029600.0,102.63
0151920024,CAP                                                                                                                                                                                                                                                           ,SAN DONATO MILANESE                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                              ,1520390.0,5030365.0,103.35
0151950005,CAP                                                                                                                                                                                                                                                           ,SAN GIULIANO MILANESE                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                              ,1522067.0,5026985.0,96.74
