gid,id_punto,fkid,data,codice_campagna,secco,prodotto,spessore_prodotto,quota_falda,soggiacenza,quota_ref,riferimento_soggiacenza,fonte,note
68,PO0130230U0003,32,2008-03-01,,no,,,360.984,,372.084,non noto,PTUA2022,
69,PO0130230U0003,32,2008-05-01,,no,,,362.114,,372.084,non noto,PTUA2022,
70,PO0130230U0003,32,2008-06-01,,no,,,362.984,,372.084,non noto,PTUA2022,
71,PO0130230U0003,32,2008-07-01,,no,,,360.494,,372.084,non noto,PTUA2022,
72,PO0130230U0003,32,2008-08-01,,no,,,359.844,,372.084,non noto,PTUA2022,
73,PO0130230U0003,32,2008-10-01,,no,,,359.264,,372.084,non noto,PTUA2022,
74,PO0130230U0003,32,2008-11-01,,no,,,359.054,,372.084,non noto,PTUA2022,
75,PO0130230U0003,32,2009-01-01,,no,,,360.704,,372.084,non noto,PTUA2022,
76,PO0130230U0003,32,2009-04-01,,no,,,363.944,,372.084,non noto,PTUA2022,
77,PO0130230U0003,32,2009-05-01,,no,,,364.844,,372.084,non noto,PTUA2022,
78,PO0130230U0003,32,2009-06-01,,no,,,363.914,,372.084,non noto,PTUA2022,
79,PO0130230U0003,32,2009-07-01,,no,,,363.114,,372.084,non noto,PTUA2022,
80,PO0130230U0003,32,2009-09-01,,no,,,362.644,,372.084,non noto,PTUA2022,
81,PO0130230U0003,32,2009-10-01,,no,,,362.494,,372.084,non noto,PTUA2022,
82,PO0130230U0003,32,2009-11-01,,no,,,362.384,,372.084,non noto,PTUA2022,
83,PO0130230U0003,32,2009-12-01,,no,,,362.514,,372.084,non noto,PTUA2022,
84,PO0130230U0003,32,2010-01-01,,no,,,363.694,,372.084,non noto,PTUA2022,
85,PO0130230U0003,32,2010-02-01,,no,,,363.594,,372.084,non noto,PTUA2022,
86,PO0130230U0003,32,2010-03-01,,no,,,366.124,,372.084,non noto,PTUA2022,
87,PO0130230U0003,32,2010-04-01,,no,,,366.154,,372.084,non noto,PTUA2022,
88,PO0130230U0003,32,2010-05-01,,no,,,366.294,,372.084,non noto,PTUA2022,
89,PO0130230U0003,32,2010-06-01,,no,,,367.074,,372.084,non noto,PTUA2022,
90,PO0130230U0003,32,2010-07-01,,no,,,366.054,,372.084,non noto,PTUA2022,
91,PO0130230U0003,32,2010-08-01,,no,,,365.474,,372.084,non noto,PTUA2022,
92,PO0130230U0003,32,2010-09-01,,no,,,365.354,,372.084,non noto,PTUA2022,
93,PO0130230U0003,32,2010-10-01,,no,,,365.124,,372.084,non noto,PTUA2022,
94,PO0130230U0003,32,2010-11-01,,no,,,365.634,,372.084,non noto,PTUA2022,
95,PO0130230U0003,32,2010-12-01,,no,,,367.104,,372.084,non noto,PTUA2022,
96,PO0130230U0003,32,2011-01-01,,no,,,367.104,,372.084,non noto,PTUA2022,
97,PO0130230U0003,32,2011-02-01,,no,,,366.414,,372.084,non noto,PTUA2022,
