DATA,0151461161,0151461288,0151461289,0151461312,0151461313,0151461353,0151461354,0151461374,0151461375,0151461376,0151461377,0151461378,0151461379,0151461380,0151461557,0151462108,0151462109,0151462111,0151462112,0151462113,0151462114,0151462115,0151462121,0151462122,0151462123,0151710197,0151750006,0151750008,0151750289,0151750291,0151920005,0152050007,0152050138,0152420041
1998-06-01,106.15,104.87,103.99,105.88,109.6,103.04,103.3,101.67,98.68,101.37,102.21,103.01,99.6,100.68,106.62,,,,,,,,,,,,,,,,,,,
1998-07-01,106.05,104.77,103.99,,109.4,103.14,103.33,101.57,98.98,101.47,102.31,103.31,99.7,100.78,,,,,,,,,,,,,,,,,,,,
1998-08-01,106.1,104.77,103.99,,110.5,103.74,102.93,102.17,99.08,101.87,102.31,103.61,100.0,100.78,,,,,,,,,,,,,,,,,,,,
1998-09-01,105.75,104.87,104.09,106.08,110.2,103.64,103.23,101.87,98.68,101.37,102.71,103.41,99.8,100.78,107.32,,,,,,,,,,,,,,,,,,,
1998-10-01,105.4,105.07,104.19,106.18,109.7,105.44,103.53,101.77,99.98,100.87,101.91,103.11,99.95,100.38,106.92,,,,,,,,,,,,,,,,,,,
1998-11-01,104.85,105.17,104.09,105.78,109.2,103.14,103.83,101.17,98.68,100.77,101.61,102.71,99.5,101.18,106.62,,,,,,,,,,,,,,,,,,,
1998-12-01,104.75,104.67,103.69,105.68,109.1,102.64,103.23,100.77,98.38,100.57,101.61,102.61,99.4,99.78,106.57,,,,,,,,,,,,,,,,,,,
1999-01-01,105.05,104.77,103.79,105.68,108.98,102.84,103.53,101.27,98.48,100.67,101.51,102.61,99.0,99.78,106.42,,,,,,,,,,,103.91,113.6,116.0,107.24,,87.66,116.54,,99.92
1999-02-01,104.75,104.77,103.59,105.58,109.0,102.94,103.93,101.17,98.48,100.57,101.51,102.61,99.1,99.6,106.42,,,,,,,,,,,103.64,113.5,115.7,107.14,,86.96,116.44,,99.62
1999-03-01,104.55,104.47,103.59,105.48,108.7,102.54,103.83,100.87,97.48,100.47,101.31,102.31,99.1,99.4,106.32,,,,,,,,,,,101.91,113.25,115.4,106.89,,92.91,115.94,,99.12
1999-04-01,104.45,104.67,103.69,105.18,108.4,102.34,103.93,100.67,98.28,99.97,101.31,102.11,98.8,99.68,106.02,,,,,,,,,,,101.81,112.7,114.9,106.34,,86.01,115.64,,98.72
1999-05-01,103.95,103.87,103.19,104.88,107.9,102.24,101.13,100.07,97.48,100.07,101.11,101.01,99.0,99.48,105.72,,,,,,,,,,,103.66,112.5,114.4,106.14,,86.05,115.24,,98.72
1999-06-01,103.95,103.77,102.99,104.78,107.8,102.24,101.63,100.37,97.98,100.07,101.11,102.01,98.7,99.68,105.52,,,,,,,,,,,101.81,113.3,115.0,106.94,,91.91,115.24,,98.22
1999-07-01,104.05,103.87,102.99,104.68,108.1,102.64,102.23,100.57,98.38,100.07,101.31,102.21,98.9,99.68,105.47,,,,,,,,,,,,,,,,86.21,,,
1999-08-01,104.45,103.87,102.99,105.38,108.3,102.64,102.93,100.77,98.28,100.27,101.51,102.41,98.5,99.88,105.82,,,,,,,,,,,102.61,115.0,117.7,108.64,,93.71,116.94,,97.42
1999-09-01,104.65,104.37,103.79,105.78,108.9,103.34,104.03,101.17,98.78,100.87,101.91,102.71,99.5,100.18,105.82,,,,,,,,,,,102.61,115.5,118.6,109.14,,87.16,116.94,,97.12
1999-10-01,104.85,104.27,103.59,105.58,108.8,103.14,104.23,101.37,98.78,100.67,101.71,102.31,99.7,99.98,105.82,,,,,,,,,,,102.46,115.1,118.3,108.74,,94.31,116.74,,97.22
1999-11-01,105.25,104.57,103.69,105.93,109.3,103.84,104.43,101.37,98.98,100.97,102.01,102.61,100.0,100.6,105.82,,,,,,,,,,,102.51,114.8,117.7,108.44,,92.01,117.24,,97.72
1999-12-01,104.55,104.67,103.69,105.58,109.0,103.14,103.83,101.17,99.03,88.67,101.61,102.51,99.8,100.18,105.92,,,,,,,,,,,102.31,114.4,117.6,108.04,,94.11,117.04,,98.77
2000-01-01,104.15,104.67,103.69,105.58,108.5,102.84,103.93,100.87,98.78,100.47,101.41,102.01,99.5,99.78,105.52,,,,,,,,,,,101.91,111.4,111.2,108.04,,94.01,108.94,,113.92
2000-02-01,103.95,104.17,103.69,105.8,108.2,102.54,102.93,100.47,98.48,100.17,100.91,101.41,99.2,99.58,105.62,,,,,,,,,,,101.61,111.0,110.7,107.34,,93.51,108.34,,113.52
2000-03-01,103.45,103.97,102.99,104.78,108.1,102.04,102.23,100.47,97.98,99.87,100.51,101.11,99.2,99.28,105.42,,,,,,,,,,,101.46,110.1,110.3,106.84,,93.11,107.94,,112.82
2000-04-01,103.25,103.67,102.59,104.98,107.8,101.94,101.93,100.07,97.98,99.47,100.21,100.71,98.8,99.08,105.22,,,,,,,,,,,,109.6,109.9,106.44,,,107.64,,112.62
2000-05-01,103.25,103.57,102.69,104.98,107.9,102.44,102.33,100.07,97.88,99.67,100.31,100.71,98.9,99.08,105.02,,,,,,,,,,,101.81,108.6,109.8,106.14,,93.11,107.04,,111.92
2000-06-01,103.25,103.67,102.69,104.38,107.9,102.14,101.23,99.97,98.08,99.57,100.81,101.71,98.9,99.38,104.82,,,,,,,,,,,101.91,109.5,109.7,107.14,,92.81,106.44,,114.82
2000-07-01,103.55,103.47,102.49,104.88,107.7,102.24,101.93,99.97,97.98,99.47,100.51,101.01,99.1,99.58,104.92,,,,,,,,,,,102.11,110.5,110.0,107.84,,93.21,106.44,,115.42
