DATA,level
1987-01-01,105.29136363636363
1987-02-01,105.46315789473684
1987-03-01,105.57727272727271
1987-04-01,105.15571428571428
1987-05-01,104.78909090909092
1987-06-01,104.67476190476191
1987-07-01,104.65545454545455
1987-08-01,104.88863636363637
1987-09-01,105.50666666666666
1987-10-01,105.3490909090909
1987-11-01,105.00142857142858
1987-12-01,105.20136363636362
1988-01-01,105.35136363636364
1988-02-01,105.4536842105263
1988-03-01,105.13863636363637
1988-04-01,104.62095238095237
1988-05-01,104.40863636363635
1988-06-01,104.52619047619048
1988-07-01,104.56363636363636
1988-08-01,104.65772727272726
1988-09-01,104.81952380952382
1988-10-01,104.81363636363636
1988-11-01,104.58809523809524
1988-12-01,104.62636363636365
1989-01-01,104.76636363636364
1989-02-01,104.86526315789473
1989-03-01,104.8559090909091
1989-04-01,104.51809523809524
1989-05-01,104.61818181818181
1989-06-01,104.52523809523811
1989-07-01,104.605
1989-08-01,104.79863636363638
1989-09-01,104.95714285714286
1989-10-01,104.62863636363636
1989-11-01,104.07619047619048
1989-12-01,103.85727272727273
1990-01-01,
1990-02-01,104.12
1990-03-01,104.58181818181819
1990-04-01,104.16904761904763
1990-05-01,104.47454545454546
1990-06-01,104.5852380952381
1990-07-01,104.65454545454546
1990-08-01,104.87818181818183
1990-09-01,104.79190476190476
1990-10-01,104.32
1990-11-01,103.93476190476191
1990-12-01,104.10227272727273
1991-01-01,104.24227272727272
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,
1991-08-01,104.325
1991-09-01,104.43095238095239
1991-10-01,104.03772727272727
1991-11-01,103.6842857142857
1991-12-01,104.12681818181818
1992-01-01,104.35136363636364
1992-02-01,104.4921052631579
1992-03-01,104.49909090909091
1992-04-01,103.93285714285715
1992-05-01,104.16136363636365
1992-06-01,104.3295238095238
1992-07-01,104.61
1992-08-01,104.7590909090909
1992-09-01,104.88047619047617
1992-10-01,104.91
1992-11-01,104.7452380952381
1992-12-01,105.06772727272728
1993-01-01,105.26090909090908
1993-02-01,105.40157894736842
1993-03-01,105.02772727272728
1993-04-01,104.24238095238096
1993-05-01,104.31272727272727
1993-06-01,104.2552380952381
1993-07-01,104.57136363636364
1993-08-01,104.75772727272728
1993-09-01,104.84238095238095
1993-10-01,105.42863636363636
1993-11-01,105.42904761904762
1993-12-01,105.27681818181819
1994-01-01,105.53045454545455
1994-02-01,105.37578947368422
1994-03-01,105.13863636363637
1994-04-01,104.58
1994-05-01,104.71454545454547
1994-06-01,104.85857142857144
1994-07-01,105.02318181818183
1994-08-01,105.2040909090909
1994-09-01,105.57047619047619
1994-10-01,105.5759090909091
1994-11-01,105.68714285714285
1994-12-01,105.61863636363637
1995-01-01,105.40363636363637
1995-02-01,105.37789473684211
1995-03-01,105.24681818181817
1995-04-01,104.79523809523809
1995-05-01,104.87681818181818
1995-06-01,105.16761904761904
1995-07-01,105.14772727272727
1995-08-01,105.18818181818182
1995-09-01,105.08619047619047
1995-10-01,104.9159090909091
1995-11-01,104.78904761904762
1995-12-01,105.02954545454546
1996-01-01,105.3259090909091
1996-02-01,105.46157894736842
1996-03-01,105.22681818181817
1996-04-01,104.77952380952381
1996-05-01,104.4809090909091
1996-06-01,104.67857142857143
1996-07-01,105.10818181818182
1996-08-01,105.38590909090908
1996-09-01,105.39380952380952
1996-10-01,105.38681818181819
1996-11-01,105.48904761904762
1996-12-01,105.66227272727274
1997-01-01,105.82045454545455
1997-02-01,105.6178947368421
1997-03-01,105.26045454545455
1997-04-01,104.80428571428571
1997-05-01,104.71318181818182
1997-06-01,105.11428571428571
1997-07-01,105.58318181818181
1997-08-01,105.72454545454546
1997-09-01,105.62714285714286
1997-10-01,105.4009090909091
1997-11-01,105.21285714285713
1997-12-01,105.29
1998-01-01,105.47136363636363
1998-02-01,105.34736842105262
1998-03-01,105.07863636363636
1998-04-01,104.78238095238095
1998-05-01,104.81818181818181
1998-06-01,105.09619047619047
1998-07-01,105.36136363636363
1998-08-01,105.57318181818182
1998-09-01,105.42714285714285
1998-10-01,105.29545454545455
1998-11-01,105.02142857142856
1998-12-01,104.835
1999-01-01,104.83363636363637
1999-02-01,104.76736842105262
1999-03-01,104.51454545454546
1999-04-01,104.27285714285715
1999-05-01,104.37136363636364
1999-06-01,104.56952380952382
1999-07-01,104.91727272727272
1999-08-01,105.11863636363637
1999-09-01,105.60857142857144
1999-10-01,105.48818181818181
1999-11-01,105.62714285714286
1999-12-01,105.41863636363637
2000-01-01,105.13000000000001
2000-02-01,104.82631578947368
2000-03-01,104.47681818181817
2000-04-01,104.17571428571429
2000-05-01,104.26454545454546
2000-06-01,104.40047619047618
2000-07-01,104.71363636363635
2000-08-01,104.82727272727271
2000-09-01,104.81904761904761
2000-10-01,104.95500000000001
2000-11-01,105.30333333333333
2000-12-01,105.53272727272729
2001-01-01,105.49227272727272
2001-02-01,105.50157894736842
2001-03-01,105.40238095238094
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,104.65499999999999
2002-06-01,104.8995238095238
2002-07-01,105.15863636363638
2002-08-01,105.48863636363636
2002-09-01,105.72238095238096
2002-10-01,105.54818181818182
2002-11-01,105.38238095238096
2002-12-01,105.89681818181818
2003-01-01,105.86806451612902
2003-02-01,105.67785714285715
2003-03-01,105.3683870967742
2003-04-01,104.95
2003-05-01,104.6716129032258
2003-06-01,104.81033333333333
2003-07-01,104.88677419354839
2003-08-01,104.92870967741935
2003-09-01,104.92166666666667
2003-10-01,104.8358064516129
2003-11-01,104.82233333333333
2003-12-01,105.01
2004-01-01,105.33290322580646
2004-02-01,105.32428571428571
2004-03-01,105.29612903225807
2004-04-01,105.08266666666667
2004-05-01,105.23870967741935
2004-06-01,105.32633333333334
2004-07-01,105.40290322580645
2004-08-01,105.46129032258065
2004-09-01,105.36699999999999
2004-10-01,105.15709677419355
