CODICE_SIF,CODICE_PP,PROVINCIA,COMUNE,DITTA_INDIRIZZO,DENOMINAZIONE,TIPO,X,Y,Z_BOCCA_POZZO,MOD_COORDINATE,FONTE_COORDINATE,PROFONDITA,FILTRI_DA,FILTRI_A,MODIFICAFILTRI_PROFONDITA,FILTRI,QUOTA_DTM,BASE_A_SLM,BASE_B_SLM,BASE_ISS_SLM,BASE_ISI_SLM,TIPO_FALDA,CLASSIFICAZIONE_POLITECNICO,CLASSIFICAZIONE_EUPOLIS,SCHEDA_STRATIGRAFICA,LIVELLI_FALDA,N_PRATICA_AGISCO,FONTE
0152060001,PO0152060U0001,MI,SENAGO,C.A.P. - VIA PIAVE,,POZZO,1509620,5047410,,,,60.00,ND,ND,,,168.6,138.56667,103.7934,118.50515,ND,INDISTINTA,DUBBIO,DUBBIO,,,,progPLUMES
0152060003,PO0152060U0003,MI,SENAGO,Via Repubblica,,POZZO,1509156,5046800,168.33,,,67.5,50.1,67.50,,,166.76,133.98367,99.68007,120.5766,100.47997,INDISTINTA,B,ISI,,,,progPLUMES
0152110112,PO015211NUP001,MI,SETTIMO MILANESE,VIGHIGNOLO / FORNACE,PZ M 54,PIEZOMETRO,1503715.00,5038355.00,141.00,,DA DB ACCESS,54.00,ND,ND,,PARZIALE,141.03,108.99,53.02,93.01,54.06,TRANSIZIONE,DUBBIO,DUBBIO,ASSENTE,ASSENTE,,MIND
0152110130,211130,MI,SETTIMO MILANESE,San Martino - piezometro,,PIEZOMETRO,1504532,5035955,131,,,40,ND,40.00,,,132.05,99.31982,30.28121,86.11166,37.0336,SEPARATA,A+B,ISS,,,,progPLUMES
0152060004,PO0152060U0004,MI,SENAGO,VIA ADDA,POZZO N 4,POZZO,1510324.00,5047248.00,169.78,,DA DB ACCESS,104.00,41.29,64.11,SI,MULTIPLO,170.11,140.99,104.46,116.84,,INDISTINTA,B,ISS+ISP,Log Stratigrafici\0152060004.pdf,Livelli Piezometrici\0152060004.pdf,,MIND
0152060007,206007,MI,SENAGO,Via C.na S.Giuseppe,,POZZO,1508121,5047657,182.8,,,77,2,63.00,,,183.11,142.75587,111.06647,122.94774,ND,TRANSIZIONE,A+B,ISS,,,,progPLUMES
0152110147,PO015211NR0147,MI,SETTIMO MILANESE,EX ITALTEL - C.NA CASTELLETTO - VIA REISS ROMOLI 6,MW7,PIEZOMETRO,1503012.99,5035102.25,,,DA SIF,10.00,ND,ND,,PARZIALE,131.32,99.83,32.56,87.31,34.24,SEPARATA,A,ISS,Log Stratigrafici\0152110147.pdf,ASSENTE,MI211.0034,MIND
0152110148,PO015211NR0148,MI,SETTIMO MILANESE,EX ITALTEL - C.NA CASTELLETTO - VIA REISS ROMOLI 6,MW3,PIEZOMETRO,1503016.52,5035268.62,,,DA SIF,10.00,ND,ND,,PARZIALE,131.88,99.87,33.23,87.45,35.49,SEPARATA,A,ISS,Log Stratigrafici\0152110148.pdf,ASSENTE,MI211.0034,MIND
0152060013,PO015206NR0013,MI,SENAGO,MASCHERONI STRADE - VIA CAVOUR 137,,POZZO,1510900,5047810,,,,57,36,52.00,,,171.45,147.00735,107.43424,114.91756,ND,INDISTINTA,B,ISS,,,,progPLUMES
0152060017,PO015206NR0017,MI,SENAGO,ILVA POLIMERI SPA - VIA RISORGIMENTO 36,,POZZO,1510710,5047030,,,,70,53,66.50,,,169.16,141.00912,104.19778,115.94621,ND,INDISTINTA,B,ISP,,,,progPLUMES
