CODICE_SIF,CODICE_PP,PROVINCIA,COMUNE,DITTA_INDIRIZZO,DENOMINAZIONE,TIPO,X,Y,Z_BOCCA_POZZO,MOD_COORDINATE,FONTE_COORDINATE,PROFONDITA,FILTRI_DA,FILTRI_A,MODIFICAFILTRI_PROFONDITA,FILTRI,QUOTA_DTM,BASE_A_SLM,BASE_B_SLM,BASE_ISS_SLM,BASE_ISI_SLM,TIPO_FALDA,CLASSIFICAZIONE_POLITECNICO,CLASSIFICAZIONE_EUPOLIS,SCHEDA_STRATIGRAFICA,LIVELLI_FALDA,N_PRATICA_AGISCO,FONTE
12034005,PO0120340UA005,VA,CARONNO PERTUSELLA,VIA BERGAMO - POZZO APPROFONDITO,POZZO N 5 ,POZZO,1503032.14,5049030.84,,,DA PRATICA,168.00,115.00,156.00,,MULTIPLO,190.80,158.00,129.00,127.61,,TRANSIZIONE,C,ISP,Log Stratigrafici\012034005.pdf,ASSENTE,,MIND
12034006,PO012034NU0006,VA,CARONNO PERTUSELLA, VIA DELLA VITTORIA,POZZO N 6,POZZO,1503396.42,5049750.42,,,DA PRATICA,155.00,121.50,146.50,,SINGOLO,194.78,155.00,137.00,128.02,,TRANSIZIONE,C,ISP,Log Stratigrafici\012034006.pdf,ASSENTE,,MIND
12034007,PO012034NU0007,VA,CARONNO PERTUSELLA,VIA XXV APRILE,POZZO N 7,POZZO,1503934.05,5050219.33,,,DA PRATICA,188.00,127.00,179.00,,MULTIPLO,198.83,158.00,143.00,127.56,,TRANSIZIONE,C,ISP,Log Stratigrafici\012034007.pdf,ASSENTE,,MIND
12034008,PO012034NU0008,VA,CARONNO PERTUSELLA, VIA ENRICO FERMI,POZZO N 8,POZZO,1503792.82,5050528.75,,,DA PRATICA,184.75,124.00,174.75,,MULTIPLO,199.92,158.00,143.00,128.24,,TRANSIZIONE,C,ISP,Log Stratigrafici\012034008.pdf,ASSENTE,,MIND
12034021.03,PO012034NR3021,VA,CARONNO PERTUSELLA,ACCIAIERIE DI CARONNO - VIA BERGAMO PRIVATO,POZZO N 21/3,POZZO,1502788.02,5049275.80,,,DA PRATICA,94.40,53.50,93.00,,MULTIPLO,192.56,160.00,125.00,128.69,,INDISTINTA,B+C,ISS+ISP,"Log Stratigrafici\012034021,03.pdf",ASSENTE,,MIND
12034021.04,PO012034NR4021,VA,CARONNO PERTUSELLA,ACCIAIERIE DI CARONNO - VIA BERGAMO PRIVATO,POZZO N 21/4,POZZO,1502523.74,5049459.70,,,DA PRATICA,98.40,53.00,91.80,,MULTIPLO,192.76,163.00,128.00,129.37,,INDISTINTA,B+C,ISS+ISP,"Log Stratigrafici\012034021,04.pdf",ASSENTE,,MIND
12034021.05,PO012034NR5021,VA,CARONNO PERTUSELLA,ACCIAIERIE DI CARONNO - VIA BERGAMO PRIVATO,POZZO N 21/5,POZZO,1502877.49,5049413.16,,,DA PRATICA,100.00,65.00,91.97,,SI,192.42,157.00,134.00,128.61,,TRANSIZIONE,C,ISP,"Log Stratigrafici\012034021,05.pdf",ASSENTE,,MIND
12034032.02,PO012034NR0032,VA,CARONNO PERTUSELLA,FERRIERA ALTO MILANESE - VIA ASIAGO 187 ,POZZO N 32/2,POZZO,1502942.82,5049332.53,,,DA PRATICA,47.50,42.00,46.60,,SI,192.62,158.00,129.00,128.33,,TRANSIZIONE,B,ISS,"Log Stratigrafici\012034032,02.pdf",ASSENTE,,MIND
12034033.01,PO012034NR1033,VA,CARONNO PERTUSELLA, BENASEDO - VIA ASIAGO PRIVATO               ,POZZO N 33/1,POZZO,1502726.57,5049603.18,,,DA PRATICA,73.00,53.00,63.00,,SINGOLO,194.01,163.00,128.00,129.28,,TRANSIZIONE,B,ISS,"Log Stratigrafici\012034033,01.pdf",ASSENTE,,MIND
12034033.02,PO012034NR2033,VA,CARONNO PERTUSELLA, BENASEDO - VIA ASIAGO PRIVATO               ,POZZO N 33/2,POZZO,1502842.11,5049599.05,,,DA PRATICA,42.00,35.00,41.00,,SINGOLO,193.88,163.00,128.00,128.61,,TRANSIZIONE,B,ISS,"Log Stratigrafici\012034033,02.pdf",ASSENTE,,MIND
12034035.01,PO012034NR1035,VA,CARONNO PERTUSELLA,FRANCIS - VIA PER ORIGGIO 23 ,POZZO N 35/1,POZZO,1502729.74,5049034.55,,,DA PRATICA,83.00,29.00,80.00,,MULTIPLO,192.05,160.00,125.00,128.40,,INDISTINTA,B+C,ISS+ISP,"Log Stratigrafici\012034035,01.pdf",ASSENTE,,MIND
12034035.03,PO012034NR2035,VA,CARONNO PERTUSELLA,FRANCIS - VIA PER ORIGGIO 23 ,POZZO N 35/3,POZZO,1502657.86,5049124.86,,,DA PRATICA,70.00,36.00,68.00,,MULTIPLO,191.77,160.00,125.00,128.40,,INDISTINTA,B,ISS,"Log Stratigrafici\012034035,03.pdf",ASSENTE,,MIND
12034036.01,PO012034NR1036,VA,CARONNO PERTUSELLA, CARTIERA DI CARONNO - VIA LAMBRO PRIVATO ,POZZO N 36/1,POZZO,1502720.46,5048803.16,,,DA PRATICA,30.00,20.00,30.00,,SINGOLO,189.47,159.00,122.00,128.07,,INDISTINTA,A,ISS,"Log Stratigrafici\012034036,01.pdf",ASSENTE,,MIND
12034036.03,PO012034NR3036,VA,CARONNO PERTUSELLA, CARTIERA DI CARONNO - VIA LAMBRO PRIVATO ,POZZO N 36/3,POZZO,1502648.27,5048810.22,,,DA PRATICA,70.00,ND,ND,,PARZIALE,189.38,159.00,122.00,128.07,,INDISTINTA,DUBBIO,DUBBIO,"Log Stratigrafici\012034036,03.pdf",ASSENTE,,MIND
12034041.01,PO012034NR1041,VA,CARONNO PERTUSELLA,XSYS PRINT SOLUTIONS ITALIA SPA - VIA VERDI PRIVATO               ,POZZO N 41/1,POZZO,1504247.61,5047789.20,,,DA PRATICA,48.00,31.00,47.00,,SINGOLO,183.41,150.00,114.00,124.47,,INDISTINTA,B,ISS,"Log Stratigrafici\012034041,01.pdf",ASSENTE,,MIND
12034041.02,PO012034NR2041,VA,CARONNO PERTUSELLA,XSYS PRINT SOLUTIONS ITALIA SPA - VIA VERDI PRIVATO               ,POZZO N 41/2,POZZO,1504196.26,5047739.71,,,DA PRATICA,122.00,42.50,107.00,,SI,183.44,150.00,114.00,124.58,,INDISTINTA,B+C,ISS+ISP,"Log Stratigrafici\012034041,02.pdf",ASSENTE,,MIND
12034046,PO012034NR5032,VA,CARONNO PERTUSELLA,BERETTA CERCHI - POZZO BARRIERA,P1 ,POZZO,1503602.82,5050773.42,,,DA PRATICA,65.00,ND,ND,,PARZIALE,201.63,159.00,142.00,128.51,,TRANSIZIONE,DUBBIO,ISS,ASSENTE,ASSENTE,,MIND
12034066,PO012034NR5029,VA,CARONNO PERTUSELLA,BERETTA CERCHI - PIEZOMETRO DI MONITORAGGIO LATO SUD EST,PZ1,PIEZOMETRO,1503597.84,5050684.80,,,DA PRATICA,34.00,ND,ND,,PARZIALE,201.16,159.00,142.00,128.94,,TRANSIZIONE,A,ISS,ASSENTE,ASSENTE,,MIND
12034067,PO012034NR5030,VA,CARONNO PERTUSELLA,BERETTA CERCHI - PIEZOMETRO DI MONITORAGGIO LATO SUD OVEST,PZ2,PIEZOMETRO,1503541.45,5050693.19,,,DA PRATICA,36.00,ND,ND,,PARZIALE,200.87,159.00,142.00,128.94,,TRANSIZIONE,A,ISS,ASSENTE,ASSENTE,,MIND
12034072.01,PO012034NRE002,VA,CARONNO PERTUSELLA,EX SITAI INOX SRL - VIA ASIAGO 244,PZ1,PIEZOMETRO,1502860.00,5049722.00,,,DA MAPPA,ND,ND,ND,,ND,192.01,157.00,134.00,128.90,,TRANSIZIONE,A,ISS,ASSENTE,ASSENTE,,MIND
12034072.02,PO012034NRP002,VA,CARONNO PERTUSELLA,EX SITAI INOX SRL - VIA ASIAGO 244,PZ2 BIS,PIEZOMETRO,1502876.00,5049575.00,,,DA MAPPA,ND,ND,ND,,ND,193.37,157.00,134.00,128.61,,TRANSIZIONE,A,ISS,ASSENTE,ASSENTE,,MIND
12109004,PO012109NU0004,VA,ORIGGIO,VIA PIANTANIDA,POZZO N 4,POZZO,1501777.653,5049358.887,,,DA PRATICA,150.00,60.00,148.00,,MULTIPLO,192.52,169.00,120.00,130.54,,INDISTINTA,B+C,ISS+ISP,"Log Stratigrafici\012109004,01.pdf",ASSENTE,,MIND
12109004,PO012109NU0004,VA,ORIGGIO,VIA PIANTANIDA,POZZO N 4 APPROFONDITO,POZZO,1501777.653,5049358.887,,,DA PRATICA,180.80,108.50,174.80,,MULTIPLO,192.52,169.00,120.00,130.54,,INDISTINTA,C,ISP,"Log Stratigrafici\012109004,02.pdf",ASSENTE,,MIND
12109005.01,PO012109NUA005,VA,ORIGGIO,V. VIVALDI - COLONNA PROFONDA 185 M,POZZO N 5/A,POZZO,1501818.876,5049681.677,,,DA PRATICA,185.50,112.80,175.00,,MULTIPLO,193.77,172.00,121.00,130.84,,INDISTINTA,C,ISP,Log Stratigrafici\PO012109NUA005.pdf,ASSENTE,,MIND
12109005.02,PO012109NUB005,VA,ORIGGIO,VIA VIVALDI - COLONNA SUPERFICIALE 100 M,POZZO N 5/B,POZZO,1501823.198,5049681.407,,,DA PRATICA,100.00,71.20,88.00,,MULTIPLO,193.84,172.00,121.00,130.84,,INDISTINTA,C,ISP,Log Stratigrafici\PO012109NUB005.pdf,ASSENTE,,MIND
12109023.01,PO012109NR1023,VA,ORIGGIO,DITTA ARCHIMICA SRL - VIA EUROPA EX 16,POZZO N 23/1 - ,POZZO,1500266.35,5047329.59,,,DA PRATICA,70.00,49.00,68.00,,SI,189.53,145.00,110.00,128.83,,INDISTINTA,B,ISS+ISP,ASSENTE,ASSENTE,,MIND
12109023.02,PO012109NR2023,VA,ORIGGIO,DITTA SANOFI AVENTIS - VIA EUROPA,POZZO N 23/2,POZZO,1500844.405,5047840.837,,,DA PRATICA,45.00,35.00,43.00,,SINGOLO,186.33,166.00,114.00,129.29,,INDISTINTA,B,ISS,"Log Stratigrafici\012109023,02.pdf",ASSENTE,,MIND
12109023.03,PO012109NR3023,VA,ORIGGIO,DITTA ARCHIMICA SRL - VIA EUROPA EX 20,POZZO N 23/3,POZZO,1500347.76,5047452.72,,,DA PRATICA,210.00,57.60,80.00,,SI,188.85,157.00,112.00,129.37,,INDISTINTA,B,ISS+ISP,ASSENTE,ASSENTE,,MIND
12109034.01,PO012109NR0001,VA,ORIGGIO,MEDICAIR ITALIA SRL - VIA PER CANTALUPO 3, P1 34/1,POZZO,1500845,5048720,,,DA PRATICA,75.00,42.00,72.00,,SINGOLO,191.30,176.00,117.00,130.96,,INDISTINTA,B,ISS+ISP,Log Stratigrafici\PO012109NR0001.pdf,ASSENTE,,MIND
12109034.02,PO012109NR0002,VA,ORIGGIO,MEDICAIR ITALIA SRL - VIA PER CANTALUPO 3, P2 34/2,POZZO,1500795,5048665,,,DA PRATICA,75.00,41.00,71.00,,SINGOLO,191.34,176.00,117.00,131.31,,INDISTINTA,B,ISS+ISP,Log Stratigrafici\PO012109NR0002.pdf,ASSENTE,,MIND
0150090001,PO0150090U0001,MI,ARESE,C.A.P. - MUNICIPIO I  VIA CADUTI,,,1506210,5044070,,,,100.50,31.50,74.00,,,162.1,127.29131,99.39677,120.03317,93.4972,INDISTINTA,B+C,ISS+ISI+ISP,,,,progPLUMES
0150090002,PO015009U0002,MI,ARESE,Piazza dei Caduti,MUNICIPIO II,,1506190.976,5044088.918,162.277893,,,82.00,51.00,58.00,,,162.28,123.58,88.90,120.03,93.50,,A+B,ISI,,,,AMIACQUE
0150090004,009004,MI,ARESE,Cascina Valera,,POZZO,1504651,5045149,168.43,,,60.00,45.97,56.55,,,167.57,134.85246,100.01055,120.17657,99.50489,INDISTINTA,B,ISI,,,,progPLUMES
0150090005,PO015009U0005,MI,ARESE,Via Walter Tobagi,PALESTRA I,,1506419.493,5044502.295,163.768341,,,102.00,47.95,77.00,,,163.77,126.22,91.55,120.81,95.28,,B,ISI-ISP,,,,AMIACQUE
0150090006,PO015009NRA174,MI,ARESE,CALCESTRUZZI Spa  PICOZZI STRADE - MARCONI 2,,POZZO,1506471,5042599,,,,30.00,19.00,30.00,,,156.41,127.90068,84.32036,117.70442,83.54691,TRANSIZIONE,A,ISS,,,,progPLUMES
0150090031,PO015009U0031,MI,ARESE,Via Walter Tobagi,VIA RESEGONE - PALESTRA II,,1506393.72,5044616.302,164.84613,,,80.00,52.19,71.75,,,164.85,127.98,93.64,120.81,95.28,,B,ISI-ISP,,,,AMIACQUE
0150090032,PO015009U0032,MI,ARESE,Via delle Industrie,V.LE INDUSTRIA,,1506878.273,5042519.973,153.730042,,,144.00,38.00,70.50,,,153.73,112.46,72.08,118.98,82.75,,A+B,ISI,,,,AMIACQUE
0150090033,PO015009U0033,MI,ARESE,Via Monviso,VIALE RESEGONE - CAMPO SPORTIVO,,1506188.773,5044731.082,166.685303,,,168.60,51.00,161.50,,,166.69,128.23,94.82,120.90,96.48,TRANSIZIONE,B+C,ISI-ISP,,,,AMIACQUE
0150090035,PO015009U0035,MI,ARESE,Viale dei Platani,VIA DEI PLATANI,,1505681.42,5044659.039,165.983276,,,196.50,121.50,181.00,,,165.98,128.48,98.50,119.87,96.07,INDISTINTA,C,ISP,,,,AMIACQUE
0150090036,PO015009U0036,MI,ARESE,Viale Sempione,VIA SEMPIONE,,1505742.595,5044245.145,162.361221,,,198.00,124.00,187.50,,,162.36,126.24,93.98,119.02,94.15,INDISTINTA,C,ISP,,,,AMIACQUE
0150090037,PO015009NR0037,MI,ARESE,ITALMATCH CHEMICALS,,POZZO,1507130,5043560,,,,85.00,61.19,79.00,,,157.54,121.78899,92.61431,120.30056,89.12584,TRANSIZIONE,C,ISI+ISP,,,,progPLUMES
0150090062,PO015009NRA141,MI,ARESE,FIAT AUTO EX ALFA ROMEO - via Luraghi- PZ  9,,,1504540,5045662,,,,29.00,15.00,29.00,,,173.45,141.35085,102.47962,121.38373,ND,INDISTINTA,A,ISS,,,,progPLUMES
0150090064,PO015009NR0064,MI,ARESE,FIAT AUTO EX ALFA ROMEO - V.LE KENNEDY- PZ  14,,PIEZOMETRO,1504895,5045522,,,,29.00,15.00,29.00,,,173.43,141.25911,102.20832,121.17286,101.29915,INDISTINTA,A,ISS,,,,progPLUMES
0150090066,PO015009NR0066,MI,ARESE,FIAT AUTO EX ALFA ROMEO - V.LE KENNEDY- PZ  16,,PIEZOMETRO,1505030,5045545,,,,29.00,15.00,29.00,,,173.26,141.26787,103.09486,121.27943,101.17661,INDISTINTA,A,ISS,,,,progPLUMES
0150090129,PO015009U_130,MI,ARESE,,,,1506668.031,5042967.466,154.301697,,,191.00,58.00,152.00,,,154.30,114.35,75.21,119.36,85.73,,B,ISI-ISP,,,,AMIACQUE
0150090130,009130,MI,ARESE,Loc. Travello (colonna profonda),,POZZO,1506667,5042967,154.5,,,170.00,146.00,152.00,,,154.3,125.43598,87.4897,119.35896,85.72574,TRANSIZIONE,C,ISP,,,,progPLUMES
0150090139,PO015009NRA169,MI,ARESE,Area ex Alfa Romeo - PZ9,,PIEZOMETRO,1504582.62,5045513.76,,,,28.00,ND,ND,,,173,138.88831,102.34149,120.97996,101.45603,INDISTINTA,A,ISS,,,,progPLUMES
0150090141,PO015009NRA175,MI,ARESE,Immobiliare Cava Mazzo - PZ4,,,1506443,5042060,,,,24.00,9.00,24.00,,,151.59,127.10396,79.87727,115.81078,81.14406,TRANSIZIONE,A,ISS,,,,progPLUMES
0150090142,PO015009NRA176,MI,ARESE,Immobiliare Cava Mazzo - PZ6,,,1506366,5041856,,,,24.00,9.00,24.00,,,150.68,123.74383,78.49681,114.20059,80.27487,TRANSIZIONE,A,ISS,,,,progPLUMES
0150090143,PO015182NRA020,MI,ARESE,IMMOBILIARE CAVA MAZZO - VIA DE GASPERI,PZ5,PIEZOMETRO,1506452.00,5041939.00,150.33,,DA SIF,24.00,9.00,24.00,SI,SI,150.33,126.36,78.84,114.75,78.79,TRANSIZIONE,A,ISS,ASSENTE,ASSENTE,MI182.0001,MIND
0150100060,PO015010NRA129,MI,ARLUNO,MARTARELLI EZIO - VIA PADRE KOLBE 9,,,1497880,5038760,,,,ND,ND,ND,,,154.34,114.27341,65.42054,97.06975,47.70603,INDISTINTA,A,DUBBIO,,,,progPLUMES
0150100062,PO015010NRA128,MI,ARLUNO,CECCHETTI FRANCESCO - VIA PADRE KOLBE 13,,,1497920,5038720,,,,ND,ND,ND,,,153.41,114.25411,65.02969,97.06975,47.70603,INDISTINTA,A,DUBBIO,,,,progPLUMES
0150100063,PO015010NRA127,MI,ARLUNO,SABBADINI C. - PADRE KOLBE,,,1497900,5038680,,,,ND,ND,ND,,,152.6,114.23997,64.79835,97.06975,47.70603,INDISTINTA,A,DUBBIO,,,,progPLUMES
0150110001,PO0150110U0001,MI,ASSAGO,C.A.P. - VIA ROMA  I,,,1510150,5028150,,,,36.00,21.53,34.03,,,107.91,63.0924,-20.82283,65.43714,-22.14073,SEPARATA,A,ISS,,,,progPLUMES
0150110002,PO015011NUA119,MI,ASSAGO,Via Roma,,POZZO,1510125,5028137,108.4,,,81.00,46.00,79.00,,,107.94,63.40146,-20.81996,65.43714,-22.14073,SEPARATA,B,ISI,,,,progPLUMES
0150110003,PO0150110U0003,MI,ASSAGO,Via Matteotti-Generale Dalla Chiesa,,POZZO,1510368,5028230,107.17,,,126.85,55.34,126.85,,,107.61,62.10414,-20.54493,65.56687,-22.31221,SEPARATA,B,ISI,,,,progPLUMES
0150110005,PO0150110U0005,MI,ASSAGO,Via Di Vittorio 1,,POZZO,1510885,5027770,106.38,,,134.00,68.32,114.35,,,106.92,60.92519,-21.61755,63.87763,-27.53113,SEPARATA,B,ISI,,,,progPLUMES
0150110013,PO0150110U0013,MI,ASSAGO,Via Di Vittorio 2,,POZZO,1510770,5027760,107,,,128.00,67.93,121.95,,,106.88,60.82168,-21.68209,64.07956,-26.60827,SEPARATA,B,ISI,,,,progPLUMES
0150110058,PO0150110U0058,MI,ASSAGO,Via Matteotti-Generale Dalla Chiesa,,POZZO,1510350,5028205,107.8,,,161.00,107.00,161.00,,,107.64,61.79373,-20.61529,65.56687,-22.31221,SEPARATA,B+C,ISI+ISP,,,,progPLUMES
0150110059,PO015011NUA118,MI,ASSAGO,piezometro - Serbatoio,,PIEZOMETRO,1510375,5028240,107.9,,,25.00,22.00,25.00,,,107.61,61.89807,-20.53824,65.56687,-22.31221,SEPARATA,A,ISS,,,,progPLUMES
0150110066,PO015011NRA199,MI,ASSAGO,"Area Minghetti - Via Donizzetti, 6 - PZ1",,PIEZOMETRO,1509297,5028185,,,,6.00,ND,ND,,,111.68,71.06612,-20.31,66.36639,-18.18198,SEPARATA,A,ISS,,,,progPLUMES
0150110067,PO015011NRA200,MI,ASSAGO,"Area Minghetti - Via Donizzetti, 6 - PZ2",,PIEZOMETRO,1509307,5028146,,,,6.00,ND,ND,,,111.56,70.46042,-20.17402,66.36639,-18.18198,SEPARATA,A,ISS,,,,progPLUMES
0150110068,PO015011NRA201,MI,ASSAGO,"Area Minghetti - Via Donizzetti, 6 - PZC",,PIEZOMETRO,1509336,5028142,,,,7.00,ND,ND,,,111.34,70.68343,-20.51647,66.36639,-18.18198,SEPARATA,A,ISS,,,,progPLUMES
0150110070,PO015011NRA178,MI,ASSAGO,PZ 1 (B3428) Carrefour,,PIEZOMETRO,1512051,5027509,,,,13.00,ND,ND,,,105.25,59.89882,-23.99464,62.32999,-33.56595,SEPARATA,A,ISS,,,,progPLUMES
0150110074,PO015011NRA179,MI,ASSAGO,PZ 5 (B3429) Carrefour,,PIEZOMETRO,1512081,5027693,,,,13.00,ND,ND,,,104.64,60.3651,-23.17494,62.71885,-32.85896,SEPARATA,A,ISS,,,,progPLUMES
0150110113,011113,MI,ASSAGO,cascina Venina (mt 87),,POZZO,1511938,5028771,107,,,87.00,66.00,81.00,,,107.52,59.6232,-18.24494,64.78995,-28.42354,SEPARATA,B,ISI,,,,progPLUMES
0150110114,011114,MI,ASSAGO,cascina Venina (mt 150),,POZZO,1511938,5028771,107,,,150.00,112.00,139.00,,,107.52,59.6232,-18.24494,64.78995,-28.42354,SEPARATA,B+C,ISI,,,,progPLUMES
0150110115,011115,MI,ASSAGO,cascina Venina (mt 50),,POZZO,1511939,5028792,107,,,50.00,34.00,44.00,,,107.41,63.38309,-18.52539,64.78995,-28.42354,SEPARATA,A,ISS,,,,progPLUMES
0150110116,011116,MI,ASSAGO,cascina Venina (mt 100),,POZZO,1511939,5028792,107,,,100.00,76.00,96.00,,,107.41,63.38309,-18.52539,64.78995,-28.42354,SEPARATA,B,ISI,,,,progPLUMES
0150110117,011117,MI,ASSAGO,Via Di Vittorio 2,,POZZO,1510844,5027714,107,,,130.00,68.00,114.00,,,106.79,60.75056,-21.80708,63.87763,-27.53113,SEPARATA,B,ISI,,,,progPLUMES
0150110127,011127,MI,ASSAGO,Via Di Vittorio 1,,POZZO,1510885,5027770,107,,,121.00,67.00,121.00,,,106.92,60.92519,-21.61755,63.87763,-27.53113,SEPARATA,B,ISI,,,,progPLUMES
0150110138,PO015011NRA181,MI,ASSAGO,Ex Autodemolitore di Bella PZC,,PIEZOMETRO,1509631.31,5028827.24,,,,8.00,ND,ND,,,109.63,77.30799,-18.49609,67.13641,-16.95755,SEPARATA,A,ISS,,,,progPLUMES
0150110140,PO015011NRA196,MI,ASSAGO,Ex Demolitore Di Bella - PZF,,PIEZOMETRO,1509594.11,5028902.6,,,,8.00,ND,ND,,,109.69,76.76153,-18.22505,67.34773,-15.92717,SEPARATA,A,ISS,,,,progPLUMES
0150110997,011997,MI,ASSAGO,cascina Venina - piezometro,,,1511935.136,5028830.067,,,,50.00,3.00,50.00,,,107.21,63.41404,-18.32924,65.15686,-27.70212,SEPARATA,A+B,ISS+ISI,,,,progPLUMES
0150120001,PO0150120U0001,MI,BAREGGIO,Via Girotti,,POZZO,1499239,5036350,139.06,,,117.48,66.29,117.48,,,139.06,109.07848,42.77394,91.34613,46.109,TRANSIZIONE,B+C,ISI+ISP,,,,progPLUMES
0150120004,PO0150120U0004,MI,BAREGGIO,V.le De Gasperi,,POZZO,1499569,5037859,144.69,,,76.50,43.20,76.50,,,146.87,109.6004,57.68815,93.89252,49.60057,TRANSIZIONE,B,ISS+ISI,,,,progPLUMES
0150120006,PO0150120U0006,MI,BAREGGIO,C.na Casone,,POZZO,1500218,5035294,133.34,,,85.00,49.00,85.00,,,134.79,105.94412,36.27789,91.03797,38.90494,SEPARATA,B,ISI,,,,progPLUMES
0150120072,PO015012NR0072,MI,BAREGGIO,Cavallaro Alfredo-via leonardo da vinci,,,1499022,5036506,,,,ND,ND,ND,,,140.17,109.44328,43.86698,91.80985,45.96122,TRANSIZIONE,DUBBIO,DUBBIO,,,,progPLUMES
0150120075,PO0150120R0075,MI,BAREGGIO,a,,POZZO,1499130,5036160,,,,30.00,27.00,30.00,,,139,108.96188,41.11621,92.01825,44.21371,TRANSIZIONE,A,ISS,,,,progPLUMES
0150120097,PO015012NRA100,MI,BAREGGIO,Via Etna - Bareggio - Prop. Ricci,,PIEZOMETRO,1499416,5038048,,,,12.00,ND,ND,,,147.39,110.01848,59.55563,94.39291,50.30311,INDISTINTA,A,ISS,,,,progPLUMES
0150150001,PO0150150U0001,MI,BASIGLIO,C.A.P. - PIAZZA MONSIGNOR ROSSI CHIESA,,,1512870,5021820,,,,43.00,32.00,40.00,,,96.82,37.60086,-53.9828,51.01003,-48.79646,SEPARATA,A,ISS,,,,progPLUMES
0150150002,015002,MI,BASIGLIO,P.za Mons. Rossi,,POZZO,1512895,5021799,96.77,,,58.50,33.30,58.50,,,96.74,37.54087,-54.16175,50.65699,-49.04745,SEPARATA,A,ISS+ISI,,,,progPLUMES
0150150003,PO0150150U0003,MI,BASIGLIO,Via Longobardi/S.Lucia,,POZZO,1512931,5022853,99.72,,,114.85,76.70,114.85,,,98.23,37.00643,-49.31412,52.66326,-47.4298,SEPARATA,B,ISI,,,,progPLUMES
0150150004,PO0150150U0004,MI,BASIGLIO,Milano 3 / serbatoio,,POZZO,1511911,5023376,99.1,,,124.95,73.13,124.95,,,100.72,37.35916,-44.08699,53.91697,-44.50371,SEPARATA,B,ISI,,,,progPLUMES
0150150005,PO0150150U0005,MI,BASIGLIO,Via Vivaldi,,POZZO,1512090,5023725,100.53,,,130.00,96.69,130.00,,,102.06,35.31511,-43.11285,54.56667,-44.23413,SEPARATA,B,ISI,,,,progPLUMES
0150250044,PO015250NRA088,MI,BARANZATE,Famar - Via Zambeletti,,PIEZOMETRO,1507939,5041615,,,,40.00,ND,ND,,,146.23,113.66032,73.25824,115.04097,76.21941,SEPARATA,A+B,DUBBIO,,,,progPLUMES
0150270001,PO015027U0001,MI,BOLLATE,Via Ambrogio da Bollate,VIA A. DA BOLLATE EX SERBATOIO,,1509247.38,5043528.838,151.842224,,,68.25,54.75,66.25,,,151.84,111.90,71.32,118.08,86.67,SEPARATA,B,ISI-ISP,,,,AMIACQUE
0150270002,PO015027U0002,MI,BOLLATE,Via Ambrogio da Bollate,VIA A. DA BOLLATE EX SERBATOIO,,1509253.478,5043616.172,152.259277,,,67.65,49.00,66.00,,,152.26,113.45,73.46,118.08,86.67,SEPARATA,B,ISI-ISP,,,,AMIACQUE
0150270003,PO015027U0003,MI,BOLLATE,Via Cassina Nuova,C.NA NUOVA VIA CARACCIOLO,,1510987.069,5045426.671,160.228546,,,60.50,38.35,59.95,,,160.23,125.75,91.81,114.84,92.84,,A+B,ISS-ISI,,,,AMIACQUE
0150270004,PO015027U0004,MI,BOLLATE,Via Galileo Ferraris,VIA FERRARIS - OSPIATE,,1507839.507,5043147.698,153.319519,,,64.80,41.50,64.80,,,153.32,112.98,71.35,119.56,85.95,TRANSIZIONE,B,ISI,,,,AMIACQUE
0150270005,PO015027U0005,MI,BOLLATE,Via Trento,VIA GALIMBERTI - OSPIATE,,1507831.256,5043260.304,153.362808,,,68.60,46.00,67.00,,,153.36,113.90,72.75,119.56,85.95,TRANSIZIONE,B,ISI-ISP,,,,AMIACQUE
0150270006,PO015027U0006,MI,BOLLATE,Via Trento,VIA GALIMBERTI II - OSPIATE,,1507812.405,5043289.447,153.336365,,,67.00,46.00,63.00,,,153.34,113.90,72.75,119.84,87.27,TRANSIZIONE,B,ISI,,,,AMIACQUE
0150270007,PO015027U0007,MI,BOLLATE,Via Giuseppe Verdi,VIA VERDI CAMPO SPORTIVO I,,1508395.294,5043688.981,152.658615,,,75.00,49.55,74.00,,,152.66,115.46,75.03,119.64,89.38,,C,ISI-ISP,,,,AMIACQUE
0150270008,PO015027U0008,MI,BOLLATE,Via Giuseppe Verdi,VIA VERDI CAMPO SPORTIVO II,,1508399.78,5043644.405,152.357483,,,77.50,49.05,74.90,,,152.36,115.46,75.03,119.50,88.21,,B,ISI-ISP,,,,AMIACQUE
0150270010,PO015027U0010,MI,BOLLATE,Via Cassina Nuova,VIA CARACCIOLO II,,1511028.581,5045412.579,160.121521,,,130.00,51.00,122.00,,,160.12,123.60,89.79,114.84,92.84,TRANSIZIONE,B+C,ISI-ISP,,,,AMIACQUE
0150270011,PO015027NR0011,MI,BOLLATE,PIRELLI - VIA S. BERNARDO 91,,,1511610,5045630,,,,ND,ND,ND,,,161.98,133.91394,98.55014,114.46895,92.79922,TRANSIZIONE,DUBBIO,DUBBIO,,,,progPLUMES
0150270012,PO015027NR0012,MI,BOLLATE,PIRELLI - VIA S. BERNARDO 91,,POZZO,1511630,5045590,,,,105.00,34.20,95.00,,,161.77,133.49371,98.20193,114.38541,92.37546,TRANSIZIONE,B+C,ISS+ISI+ISP,,,,progPLUMES
