CODICE,PROVINCIA,COMUNE,DATA_INIZIO,X_WGS84,Y_WGS84,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,NOTE,ORIGINE
PO0171140UC023,BS,MONTIRONE,01/01/2006,596315.0,5033160.0,98.78,100.61,55.5,1,22.25,31.25,POTABILE,POZZO,GWB ISS APOM,IT03GWBISSAPOM,,,PTUA2022
PO0200170R0001,MN,CASTIGLIONE DELLE STIVIERE,01/01/2006,615368.0,5028467.0,105.253,105.253,28.0,1,18,28,NON DEFINITO,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,,,PTUA2022
PO0170340RC481,BS,CALVISANO,01/01/2006,603498.0,5027951.0,85.95,85.8,10.0,1,4,10,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,SI,,PTUA2022
PO020017NU0005,MN,CASTIGLIONE DELLE STIVIERE,01/05/2014,618058.0846,5027962.536,112.83,112.69,60.0,1,48,58,NON DEFINITO,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,SI,,PTUA2022
PO0170340RC483,BS,CALVISANO,01/07/2009,604569.0,5024858.0,75.97,75.64,12.0,1,6,12,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,SI,,PTUA2022
PO0130230U0003,CO,BINAGO,01/01/2006,492805.0,5069886.0,372.084,373.384,30.0,1,20.5,29.5,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO012002NU0008,VA,ALBIZZATE,01/09/2011,485002.0,5065315.0,313.8,315.12,48.5,1,18,28.5,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',PTUA2022
PO012136NUZ001,VA,VENEGONO INFERIORE,01/08/2005,493230.0,5064390.0,315.709,316.009,67.0,2,28,55,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO0130280U0009,CO,BREGNANO,01/01/2006,503950.0,5061917.0,281.548,283.013,96.0,1,71,86,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO013029NU0003,CO,BRENNA,01/01/2006,514917.0,5064395.0,340.871,342.371,79.0,1,57,74,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO0130460U0001,CO,CARIMATE,01/01/2006,508142.0,5061966.0,250.348,253.598,61.0,3,41.41,58,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO013064NU0002,CO,CERMENATE,01/01/2006,506428.0,5061507.0,301.932,304.572,110.0,1,98.3,102.3,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO0131330U0009,CO,LOMAZZO,01/01/2006,502017.0,5061511.0,303.805,306.115,153.0,1,88,91,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO013143NUP001,CO,MARIANO COMENSE,01/03/2015,513110.453,5061567.053,284.119,285.209,53.0,1,37,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO0970200U0002,LC,CERNUSCO LOMBARDONE,01/01/2006,531019.0,5060365.0,254.711,256.57,40.0,1,22,36,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO0970480U0001,LC,MERATE,01/01/2001,530989.0,5061279.0,264.704,266.704,49.8,1,35,44,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO0120500RZ001,VA,CISLAGO,01/12/2005,495380.0,5054832.0,207.042,207.752,15.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO012070NU1007,VA,GALLARATE,01/01/2004,482391.0,5056403.0,252.806,254.856,65.0,4,32,55,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',PTUA2022
PO0120790RZ001,VA,GORLA MINORE,01/12/2005,494757.0,5054445.0,241.321,241.521,50.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO012123NUP001,VA,SOMMA LOMBARDO,01/03/2015,477395.4323,5053944.915,228.186,231.736,100.0,1,58,88,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',PTUA2022
PO0131310U0001,CO,LOCATE VARESINO,01/03/2012,494595.0,5059657.0,272.942,273.982,58.0,1,50,54,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO0131590U0001,CO,MOZZATE,01/01/2006,495957.0,5058515.0,260.0,261.965,102.5,2,40,98,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO0970200U0003,LC,CERNUSCO LOMBARDONE,01/01/2001,530490.0,5059489.0,246.905,248.915,50.0,1,37,43,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO0970610U0015,LC,OSNAGO,01/01/2006,529860.0,5057943.0,238.515,238.095,46.6,2,21.4,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO1080390U0026,MB,SEREGNO,01/03/2015,516742.2773,5056424.618,230.749,233.749,96.0,3,68,88,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO012026NU3021,VA,BUSTO ARSIZIO,01/01/2006,486383.0,5048270.0,201.672,204.682,102.0,2,42,95,INDUSTRIALE,POZZO ATTREZZATO CON PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',PTUA2022
PO0120750R2020,VA,GERENZANO,01/01/2006,498243.0,5052530.0,220.926,220.626,62.0,1,33.5,59,INDUSTRIALE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO012090NU2009,VA,LONATE POZZOLO,01/01/2006,477623.0,5050127.0,208.446,207.946,82.6,1,55,74,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',PTUA2022
PO0121180U0005,VA,SAMARATE,01/01/2006,481042.0,5052887.0,223.767,226.067,80.0,2,50,72,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',PTUA2022
PO0121300RZ001,VA,UBOLDO,01/11/2005,497814.0,5049212.0,203.65,204.2,45.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO0151810U0001,MI,RESCALDINA,01/01/2005,496110.0,5051398.0,222.44,222.54,81.7,2,51.7,73.7,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO015219NU0009,MI,TREZZANO ROSA,01/03/2015,537519.0517,5047771.168,168.999,170.379,45.0,1,34,40.5,POTABILE,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",PTUA2022
PO0152210U0001,MI,TREZZO SULL'ADDA,01/01/2006,540511.0,5051067.0,150.393,150.393,32.98,1,17,32,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",PTUA2022
PO108023NU0003,MB,DESIO,01/01/2006,516261.0,5051920.0,199.167,199.167,78.0,3,42,65,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO1080310U0001,MB,MEZZAGO,01/01/2006,534712.0,5052931.0,220.664,220.664,75.2,1,54,74.65,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO108033NR0142,MB,MONZA,01/01/2006,522621.0,5051383.0,178.79,178.79,42.0,1,10.5,31.5,IRRIGUO,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO1080350U0024,MB,NOVA MILANESE,01/01/1999,514972.0,5048824.0,174.02,176.6,85.0,2,50,79,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO1080210U0002,MB,CONCOREZZO,01/01/2006,525376.0,5047357.0,162.45,162.45,56.0,1,32,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO0152060U0004,MI,SENAGO,01/01/2006,510294.0,5047238.0,169.78,169.78,104.0,2,41.29,64.11,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",PTUA2022
PO015041NR0075,MI,BUSTO GAROLFO,01/05/2014,491337.0,5042014.0,171.64,172.01,30.0,1,15,30,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,SI,,PTUA2022
PO015051NR0012,MI,CARUGATE,01/05/2014,526092.0,5045211.0,0.0,153.0,40.0,2,22,37,INDUSTRIALE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,SI,,PTUA2022
PO015060NU0070,MI,CASSINA DE' PECCHI,01/05/2014,528555.0,5041375.0,134.13,134.13,43.0,n.d.,n.d.,n.d.,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO015062NR0071,MI,CASTANO PRIMO,01/05/2014,479252.0,5043806.0,170.69,170.64,35.0,1,20,35,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO0151080U0002,MI,GORGONZOLA,01/01/2006,532049.0,5042247.0,0.0,134.37,90.0,1,33.05,46.6,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",PTUA2022
PO015194NU0017,MI,SAN GIORGIO SU LEGNANO,01/05/2014,492931.0,5045894.0,191.6,191.65,50.0,1,28,50,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO0152490U0002,MI,VANZAGHELLO,01/01/2005,482332.0,5046719.0,191.913,191.913,60.0,1,54,58,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",PTUA2022
PO108033NU0243,MB,MONZA,01/03/2014,520727.0,5045937.0,163.584,163.584,50.0,1,22.5,49.5,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,SI,,PTUA2022
PO1080520U0016,MB,CAPONAGO,01/03/2015,528637.8837,5045729.304,155.237,157.507,42.0,1,40.5,42,POTABILE,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO015019NR0001,MI,BERNATE TICINO,01/03/2013,486506.0,5037842.0,151.01,151.13,63.5,1,40,54.25,ALTRO MONITORAGGIO,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO015113NUP001,MI,INVERUNO,01/03/2015,489297.5977,5039466.985,158.606,158.826,25.0,1,9,25,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO015146NU1313,MI,MILANO,01/01/2010,519751.0,5037935.0,118.845,118.845,19.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO015146NU1534,MI,MILANO,01/01/2010,510123.0,5040197.0,138.95,138.83,24.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO015146NU1536,MI,MILANO,01/03/2012,511864.0,5036686.0,125.2,125.2,19.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO015146NU1557,MI,MILANO,01/03/2012,514394.0,5036838.0,123.76,123.7,30.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO015243NUP001,MI,VITTUONE,01/03/2015,496210.5145,5037318.334,147.213,146.463,50.0,1,30,50,POTABILE,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",PTUA2022
PO015146NU1120,MI,MILANO,01/01/2010,513604.0,5033914.0,117.37,117.37,17.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO015146NU1353,MI,MILANO,01/03/2012,519795.0,5033780.0,108.811,108.811,16.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022
PO018162NUP001,PV,TRAVACO' SICCOMARIO,01/03/2015,512843.2754,4999704.742,61.197,60.482,14.0,n.d.,n.d.,n.d.,POTABILE,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO019071NRA001,CR,PIADENA,01/01/2006,611002.0,4998742.0,26.5,26.14,10.0,1,1,10,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO0181140U0002,PV,PIEVE PORTO MORONE,01/01/2006,534746.0,4995245.0,55.383,55.383,24.0,1,12,18,POTABILE,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO019040NRA001,CR,DEROVERE,01/01/2006,597838.0,4994940.0,32.95,32.7,10.0,1,2,10,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO019089NUA001,CR,SAN DANIELE PO,01/05/2014,590532.0,4991152.0,33.6,33.6,25.0,1,13,25,DIDATTICO/SCIENTIFICO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO019091NRA001,CR,SAN MARTINO DEL LAGO,01/01/2006,602954.0,4991122.0,29.18,28.83,12.0,1,2,12,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO0200030R0002,MN,BAGNOLO SAN VITO,01/10/2005,645227.0,4994417.0,17.258,17.258,52.3,n.d.,n.d.,n.d.,IGIENICO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,SI,,PTUA2022
PO020021NRP001,MN,CURTATONE,01/03/2015,633518.3157,4994872.379,20.444,21.694,40.0,1,34,40,IRRIGUO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO0200310R0062,MN,MARCARIA,01/06/2001,627739.0,4991877.0,21.824,21.824,8.0,n.d.,n.d.,n.d.,IRRIGUO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO0980110U0001,LO,CASELLE LANDI,01/03/2015,562209.7293,4994623.069,45.233,45.493,62.3,2,32.5,61,POTABILE,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO098049NR0141,LO,SAN ROCCO AL PORTO,01/05/2014,550976.491,4994237.896,49.723,49.747,12.0,1,5.2,12,MONITORAGGIO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO0180470U0001,PV,CERVESINA,01/01/2006,501288.0,4989873.0,71.908,71.718,81.0,2,42,77,POTABILE,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO019103NRA001,CR,STAGNO LOMBARDO,01/01/2006,583736.0,4989691.0,34.83,34.46,12.0,1,1,12,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO019083NRA001,CR,RIVAROLO DEL RE ED UNITI,01/05/2014,616502.0,4988727.0,21.39,22.0,20.0,1,10,20,ANTINCENDIO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,si,,PTUA2022
PO0200290R0002,MN,MAGNACAVALLO,01/03/2012,668106.0,4985295.0,13.0,13.0,15.0,1,13,15,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO0200370R0002,MN,MOTTEGGIANA,01/11/2012,634438.0,4988250.0,18.0,18.0,13.0,1,10,13,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,SI,,PTUA2022
PO0200400R0001,MN,PIEVE DI CORIANO,01/01/2006,664174.0,4988419.0,11.817,11.817,51.0,n.d.,n.d.,n.d.,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,SI,HA PRESO NOME BORGO MANTOVANO,PTUA2022
PO020061NR0001,MN,SERMIDE,01/01/2006,677797.0,4988196.0,10.65,10.65,10.0,1,9,10,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO020061NUP001,MN,SERMIDE,01/03/2015,680924.0,4986614.0,0.0,11.66,50.0,1,28,50,MONITORAGGIO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,SI,,PTUA2022
PO0200650R0002,MN,SUZZARA,01/12/2005,636024.0,4984904.0,19.42,19.42,10.0,1,9,10,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO020023NUP001,MN,FELONICA,01/03/2015,685844.0,4983484.0,0.0,8.7,50.0,1,14,50,MONITORAGGIO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,SI,,PTUA2022
PO0200270R0053,MN,GONZAGA,01/01/2006,646253.0,4978449.0,17.841,17.841,19.0,n.d.,n.d.,n.d.,NON DEFINITO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO0200420R0001,MN,POGGIO RUSCO,01/01/2006,668975.0,4982250.0,10.859,10.859,6.0,n.d.,n.d.,n.d.,IRRIGUO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,PTUA2022
PO0161220R0519,BG,ISSO,01/01/2006,556753.0,5036727.0,104.8,104.8,35.0,n.d.,n.d.,n.d.,ZOOTECNICO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022
PO019084NRA002,CR,RIVOLTA D'ADDA,01/11/2010,540419.0,5033590.0,96.18,95.96,10.5,1,1,10,NON DEFINITO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,SI,,PTUA2022
PO019094NU0944,CR,SERGNANO,01/01/2006,554722.0,5030569.0,91.1,90.54,46.0,1,37,42,POTABILE,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022
PO019035NRA001,CR,CREMA,01/01/2006,552645.0,5022933.0,77.81,77.81,10.0,1,1,10,NON DEFINITO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,SI,,PTUA2022
PO098003NR0063,LO,BOFFALORA D'ADDA,01/03/2012,537578.0,5023179.0,72.433,72.403,9.0,1,3,9,PIEZOMETRO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022
PO019047NRA001,CR,GENIVOLTA,01/01/2006,568902.0,5021693.0,60.78,60.33,18.0,1,1,15,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022
PO098025NR0110,LO,CRESPIATICA,01/05/2014,542967.5282,5021710.343,72.827,72.563,10.0,1,1,10,MONITORAGGIO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022
PO019027NRA001,CR,CASTELVISCONTI,01/01/2006,574398.0,5015772.0,65.2,64.48,18.0,1,2,18,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022
PO019110NRA001,CR,TRIGOLO,01/01/2006,564922.0,5019504.0,70.82,70.16,23.0,1,2,18,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022
PO098024NR0087,LO,CORTE PALASIO,01/05/2014,543946.5236,5018367.411,66.918,66.918,10.0,1,3,10,MONITORAGGIO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022
PO019065NRA001,CR,PADERNO PONCHIELLI,01/01/2006,574438.0,5010588.0,58.87,58.21,24.0,1,4,15,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022
PO019088NRP001,CR,SAN BASSANO,01/03/2015,563717.978,5010319.591,50.943,51.343,31.0,1,22,28,IRRIGUO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022
PO019033NRA001,CR,CORTE DE' FRATI,01/01/2006,586564.0,5006546.0,48.01,47.83,15.0,1,1.5,15,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022
PO019051NRA001,CR,GRUMELLO CREMONESE ED UNITI,01/03/2012,568876.0,5004743.0,46.42,46.42,13.0,n.d.,n.d.,n.d.,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,,PTUA2022
