CODICE,PROVINCIA,COMUNE,DATA_INIZIO,X_WGS84,Y_WGS84,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,NOTE
PO0152020U0025,MI,SAN ZENONE AL LAMBRO,01/03/2015,528291.4058,5018882.33,84.866,84.686,28,1,22,28,POTABILE,PIEZOMETRO,GWB ISS MPLAS,IT03GWBISSMPLAS,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi"
PO0980600U0001,LO,VILLANOVA DEL SILLARO,01/01/2008,536331,5010155,72.786,71.715,59,1,39,57,POTABILE,POZZO,GWB ISS MPLAS,IT03GWBISSMPLAS,,
PO098002NR0045,LO,BERTONICO,01/09/2003,551597,5007962,65.153,64.753,12,n.d.,n.d.,n.d.,PIEZOMETRO,POZZO,GWB ISS MPLAS,IT03GWBISSMPLAS,,
PO0980100U0007,LO,CASALPUSTERLENGO,01/03/2015,550723.7257,5003634.624,61.881,63.661,39,1,23.25,35.3,POTABILE,POZZO,GWB ISS MPLAS,IT03GWBISSMPLAS,,
PO098052NR0037,LO,SECUGNAGO,01/03/2012,545716,5007808,67.381,67.437,10,1,2,10,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS MPLAS,IT03GWBISSMPLAS,,
PO098026NR0074,LO,FOMBIO,01/01/2003,553822,4999541,58.095,57.91,30,1,10,30,NON DEFINITO,PIEZOMETRO,GWB ISS MPLAS,IT03GWBISSMPLAS,,
PO0980510U0001,LO,SANTO STEFANO LODIGIANO,01/03/2015,558473.9317,4998227.47,51.843,51.013,56.6,1,30.75,53,POTABILE,POZZO,GWB ISS MPLAS,IT03GWBISSMPLAS,,
PO0170600UC013,BS,COMEZZANO - CIZZAGO,01/01/2006,574582,5036376,109.54,108.89,40,1,24,36,POTABILE,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,,
PO017037NRP001,BS,CAPRIANO DEL COLLE,01/03/2015,589891.7347,5032071.706,86.237,85.787,40,1,30,33,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,
PO017122NRP001,BS,BARBARIGA,01/03/2015,583839.7803,5027911.328,80.26,80.05,30,1,12,30,IRRIGUO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,,
PO0170880RC541,BS,LENO,01/01/2006,596024,5022678,62.16,62.16,12,1,3,12,INDUSTRIALE,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,
PO0171220R0001,BS,OFFLAGA,01/01/2016,586651,5026537,0,0,33,1,18,24,ZOOTECNICO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,SI,
PO020034NU0002,MN,MEDOLE,01/05/2014,620111.0677,5022645.645,83.11,83.16,40,1,27,39,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,
PO020063NU0002,MN,SOLFERINO,01/05/2014,622268.0218,5023901.63,105.62,105.76,43,1,33,43,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,,
PO020018NU0004,MN,CAVRIANA,01/05/2014,625401.9723,5021556.687,76.16,76.34,40,1,27,39,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,
PO0170860UC579,BS,ISORELLA,01/01/2006,604118,5018644,55.48,55.78,47,1,42,47,IRRIGUO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,,
PO0200150R0002,MN,CASTEL GOFFREDO,01/03/2012,612158,5017572,51.5,51.5,6,1,4,6,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,
PO0200280R0056,MN,GUIDIZZOLO,01/01/2006,624064,5020093,65.27,65.27,54,1,44,54,NON DEFINITO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,SI,
PO0200700R0002,MN,VOLTA MANTOVANA,01/03/2012,628665,5019369,57.05,57.05,15,1,13,15,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,
PO017073NUP001,BS,GAMBARA,01/03/2015,601119.1923,5012345.56,48.524,48.324,15,1,10,14,IRRIGUO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,,
PO0170710RC478,BS,FIESSE,01/03/2011,604060,5008231,41.5,40.78,10,1,4,10,INDUSTRIALE,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,
PO0200240R0001,MN,GAZOLDO DEGLI IPPOLITI,01/01/2006,624030,5006846,34.614,34.614,15,1,6,12,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,,
PO020032NR0001,MN,MARIANA MANTOVANA,01/01/2006,616370,5003316,33.008,33.008,25,1,12,24,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,,
PO0200510R0002,MN,RODIGO,01/03/2012,631172,5004964,31,31,17,1,15,17,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,,
PO0200210R0045,MN,CURTATONE,01/01/2008,639385,4998578,22.963,22.963,30,n.d.,n.d.,n.d.,ANTINCENDIO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,,
PO020030NU0004,MN,MANTOVA,01/01/2008,640758,5001180,17.9,17.9,16,1,9,15,NON DEFINITO,PIEZOMETRO,GWB ISS MPOM,IT03GWBISSMPOM,SI,
PO0181150U0006,PV,PINAROLO PO,01/01/2011,512380,4989928,67.287,66.637,19.5,1,10.5,14.5,POTABILE,POZZO,GWB ISS MPOP,IT03GWBISSMPOP,,
PO0181180U0019,PV,PORTALBERA,01/01/2006,524321,4993134,68.079,67.559,17.2,1,10.3,16.3,POTABILE,POZZO,GWB ISS MPOP,IT03GWBISSMPOP,,
PO018032NR0001,PV,CASATISMA,01/01/2006,508567,4988324,75.728,75.728,17,1,15.2,16.4,NON DEFINITO,PIEZOMETRO,GWB ISS MPOP,IT03GWBISSMPOP,,
PO0180490U0003,PV,CIGOGNOLA,01/01/2006,520341,4986376,107.259,107.259,10,1,4.5,9.5,POTABILE,POZZO,GWB ISS MPOP,IT03GWBISSMPOP,,
PO0181550U0001,PV,TORRAZZA COSTE,01/01/2006,505656,4980492,116.616,116.616,33,3,9,29,POTABILE,POZZO,GWB ISS MPOP,IT03GWBISSMPOP,,
PO0180350U0002,PV,CASSOLNOVO,01/05/2014,485404,5022621,117.58,117.36,46.5,1,30.5,40.5,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,
PO0180500U0002,PV,CILAVEGNA,01/01/2006,480174,5017487,115.897,115.897,50,1,41,48.8,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,
PO0181770U0020,PV,VIGEVANO,01/01/2006,488853,5017022,103.06,102.99,46,1,30,42,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,
PO018003NR0009,PV,ALBONESE,01/11/2015,477798,5014771,113.49,113.49,19,1,1,15,MONITORAGGIO,PIEZOMETRO,GWB ISS MPP,IT03GWBISSMPP,,
PO018068NRP001,PV,GAMBOLO',01/01/2006,492857,5011583,100.934,100.934,53.5,1,46,49,NON DEFINITO,PIEZOMETRO,GWB ISS MPP,IT03GWBISSMPP,,
PO018039NRP001,PV,CASTELLO D'AGOGNA,01/03/2015,474622.3907,5007946.95,107.215,108.345,58,1,33.46,51.46,ANTINCENDIO,POZZO,GWB ISS MPP,IT03GWBISSMPP,,
PO0180690U0002,PV,GARLASCO,01/01/2006,494013,5004960,92.741,92.741,57,2,28,51,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,
PO018147NUP001,PV,SCALDASOLE,01/03/2015,492497.439,4996514.77,86.584,87.544,60,3,7,50,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,
PO018062NRD002,PV,FERRERA ERBOGNONE,01/01/2006,489193,4993809,86.799,86.459,20,1,1,15,NON DEFINITO,POZZO,GWB ISS MPP,IT03GWBISSMPP,,
PO0180880U0001,PV,MEDE,01/01/2006,479549,4993807,92.936,92.936,53,1,30,48,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,
PO018146NRP001,PV,SARTIRANA LOMELLINA,01/03/2015,473582.7089,4995758.07,99.039,99.039,50,1,39.5,43.5,POTABILE,POZZO,GWB ISS MPP,IT03GWBISSMPP,,
PO018065NRG001,PV,FRASCAROLO,01/01/2006,476409,4987902,86.66,86.66,10,n.d.,n.d.,n.d.,INDUSTRIALE,PIEZOMETRO,GWB ISS MPP,IT03GWBISSMPP,,
PO0150870U0001,MI,CORNAREDO,01/01/2009,501558,5037847,142.84,142.84,66.7,2,30.7,62.7,POTABILE,POZZO,GWB ISS MPTLN,IT03GWBISSMPTLN,,
PO015146NU1496,MI,MILANO,01/03/2012,506073,5037830,135.68,135.68,15,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS MPTLN,IT03GWBISSMPTLN,,
PO015211NUP001,MI,SETTIMO MILANESE,01/03/2015,503699.196,5038340.577,141.431,141.341,54,n.d.,n.d.,n.d.,POTABILE,PIEZOMETRO,GWB ISS MPTLN,IT03GWBISSMPTLN,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi"
PO015146NU1378,MI,MILANO,01/03/2012,515287,5031505,111.174,111.174,14,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS MPTLN,IT03GWBISSMPTLN,,
PO015146NU1379,MI,MILANO,01/01/2010,518770,5029372,103.009,103.009,7,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS MPTLN,IT03GWBISSMPTLN,,
PO015146NU1435,MI,MILANO,01/01/2010,509862,5031663,115.102,115.102,9,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS MPTLN,IT03GWBISSMPTLN,,
PO015146NU1489,MI,MILANO,01/03/2012,505546,5032794,122.041,122.041,12,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS MPTLN,IT03GWBISSMPTLN,,
PO0150020U0005,MI,ABBIATEGRASSO,01/04/2013,493710,5027408,120.75,120.75,73,1,34.44,58,ALTRO MONITORAGGIO,POZZO,GWB ISS MPTLN,IT03GWBISSMPTLN,,
PO015140NR0109,MI,MELEGNANO,01/05/2014,525097,5022171,90.34,90.52,21,1,9,20,MONITORAGGIO,PIEZOMETRO,GWB ISS MPTLN,IT03GWBISSMPTLN,SI,
PO0152350U0001,MI,VERMEZZO,01/01/2005,498593,5026486,115.42,115.42,61.96,2,40.41,59.76,POTABILE,POZZO,GWB ISS MPTLN,IT03GWBISSMPTLN,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi"
PO015247NR0185,MI,ZIBIDO S. GIACOMO,01/03/2015,505595.6427,5026876.266,110,110,35,3,3,35,MONITORAGGIO,PIEZOMETRO,GWB ISS MPTLN,IT03GWBISSMPTLN,,
PO0150150U0001,MI,BASIGLIO,15/01/2009,512869,5021793,96.789,96.789,42,1,32,40,ALTRO MONITORAGGIO,POZZO,GWB ISS MPTLN,IT03GWBISSMPTLN,,
PO098008NR0025,LO,CASALETTO LODIGIANO,01/03/2015,528720.7753,5016831.303,71.308,71.898,38,1,23,35,INDUSTRIALE,POZZO,GWB ISS MPTLS,IT03GWBISSMPTLS,SI,SONDA AUTOMATICA GUASTA DA MARZO 2020
PO018176NUP001,PV,VIDIGULFO,01/03/2015,518046.1505,5015899.105,88.252,88.252,20,n.d.,n.d.,n.d.,POTABILE,PIEZOMETRO,GWB ISS MPTLS,IT03GWBISSMPTLS,,
PO018014NRP001,PV,BEREGUARDO,01/03/2015,501192.2303,5013351.973,96.11,97.18,47,1,35,41,POTABILE,POZZO,GWB ISS MPTLS,IT03GWBISSMPTLS,,
PO018043NUP001,PV,CERANOVA,01/03/2015,518426.6123,5011543.4,82.743,82.303,15,n.d.,n.d.,n.d.,POTABILE,PIEZOMETRO,GWB ISS MPTLS,IT03GWBISSMPTLS,,
PO018072NUP001,PV,GIUSSAGO,01/03/2015,512563.9021,5011157.222,87.134,87.134,20,n.d.,n.d.,n.d.,POTABILE,PIEZOMETRO,GWB ISS MPTLS,IT03GWBISSMPTLS,,
PO018173NUP001,PV,VELLEZZO BELLINI,01/03/2015,507665.8853,5013301.882,92.877,92.357,15,n.d.,n.d.,n.d.,POTABILE,PIEZOMETRO,GWB ISS MPTLS,IT03GWBISSMPTLS,,
PO018048NRP001,PV,CHIGNOLO PO,01/03/2015,522279.911,5003718.756,74.871,75.341,13,1,10.5,12.5,IRRIGUO,POZZO,GWB ISS MPTLS,IT03GWBISSMPTLS,,
PO0181100U0111,PV,PAVIA,01/05/2014,511138,5006846,83.4,83.05,17,n.d.,n.d.,n.d.,PIEZOMETRO SUPERFICIALE ASSOCIATO A POZZO PROFONDO,PIEZOMETRO,GWB ISS MPTLS,IT03GWBISSMPTLS,,
PO018180NUP001,PV,VILLANTERIO,01/03/2015,528164.265,5007156.563,73.02,73.82,73,1,56,68,POTABILE,POZZO,GWB ISS MPTLS,IT03GWBISSMPTLS,,
PO0180130U0005,PV,BELGIOIOSO,01/01/2006,523764,5000838,74.964,74.964,60,1,25,47,POTABILE,POZZO,GWB ISS MPTLS,IT03GWBISSMPTLS,,
PO0180480U0004,PV,CHIGNOLO PO,01/05/2013,539643,5000554,58.81,57.66,20,2,8,14,POTABILE,POZZO,GWB ISS MPTLS,IT03GWBISSMPTLS,,
PO0180810U0111,PV,LINAROLO,01/05/2014,521130,5000547,74.97,74.45,20,1,10,20,PIEZOMETRO SUPERFICIALE ASSOCIATO A POZZO PROFONDO,PIEZOMETRO,GWB ISS MPTLS,IT03GWBISSMPTLS,,
