CODICE,PROVINCIA,COMUNE,DATA_INIZIO,X_WGS84,Y_WGS84,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,NOTE
PO0170340RC483,BS,CALVISANO,01/07/2009,604569,5024858,75.97,75.64,12,1,6,12,INDUSTRIALE,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,SI,
PO0130230U0003,CO,BINAGO,01/01/2006,492805,5069886,372.084,373.384,30,1,20.5,29.5,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO012002NU0008,VA,ALBIZZATE,01/09/2011,485002,5065315,313.8,315.12,48.5,1,18,28.5,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30'
PO012136NUZ001,VA,VENEGONO INFERIORE,01/08/2005,493230,5064390,315.709,316.009,67,2,28,55,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
PO0130280U0009,CO,BREGNANO,01/01/2006,503950,5061917,281.548,283.013,96,1,71,86,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO013029NU0003,CO,BRENNA,01/01/2006,514917,5064395,340.871,342.371,79,1,57,74,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO0130460U0001,CO,CARIMATE,01/01/2006,508142,5061966,250.348,253.598,61,3,41.41,58,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO013064NU0002,CO,CERMENATE,01/01/2006,506428,5061507,301.932,304.572,110,1,98.3,102.3,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO0131330U0009,CO,LOMAZZO,01/01/2006,502017,5061511,303.805,306.115,153,1,88,91,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO013143NUP001,CO,MARIANO COMENSE,01/03/2015,513110.453,5061567.053,284.119,285.209,53,1,37,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO0970200U0002,LC,CERNUSCO LOMBARDONE,01/01/2006,531019,5060365,254.711,256.57,40,1,22,36,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO0970480U0001,LC,MERATE,01/01/2001,530989,5061279,264.704,266.704,49.8,1,35,44,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO0120500RZ001,VA,CISLAGO,01/12/2005,495380,5054832,207.042,207.752,15,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
PO012070NU1007,VA,GALLARATE,01/01/2004,482391,5056403,252.806,254.856,65,4,32,55,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30'
PO0120790RZ001,VA,GORLA MINORE,01/12/2005,494757,5054445,241.321,241.521,50,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
PO012123NUP001,VA,SOMMA LOMBARDO,01/03/2015,477395.4323,5053944.915,228.186,231.736,100,1,58,88,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30'
PO0131310U0001,CO,LOCATE VARESINO,01/03/2012,494595,5059657,272.942,273.982,58,1,50,54,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO0131590U0001,CO,MOZZATE,01/01/2006,495957,5058515,260,261.965,102.5,2,40,98,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO0970200U0003,LC,CERNUSCO LOMBARDONE,01/01/2001,530490,5059489,246.905,248.915,50,1,37,43,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO0970610U0015,LC,OSNAGO,01/01/2006,529860,5057943,238.515,238.095,46.6,2,21.4,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO1080390U0026,MB,SEREGNO,01/03/2015,516742.2773,5056424.618,230.749,233.749,96,3,68,88,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO012026NU3021,VA,BUSTO ARSIZIO,01/01/2006,486383,5048270,201.672,204.682,102,2,42,95,INDUSTRIALE,POZZO ATTREZZATO CON PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30'
PO0120750R2020,VA,GERENZANO,01/01/2006,498243,5052530,220.926,220.626,62,1,33.5,59,INDUSTRIALE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO012090NU2009,VA,LONATE POZZOLO,01/01/2006,477623,5050127,208.446,207.946,82.6,1,55,74,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30'
PO0121180U0005,VA,SAMARATE,01/01/2006,481042,5052887,223.767,226.067,80,2,50,72,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30'
PO0121300RZ001,VA,UBOLDO,01/11/2005,497814,5049212,203.65,204.2,45,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
PO0151810U0001,MI,RESCALDINA,01/01/2005,496110,5051398,222.44,222.54,81.7,2,51.7,73.7,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO015219NU0009,MI,TREZZANO ROSA,01/03/2015,537519.0517,5047771.168,168.999,170.379,45,1,34,40.5,POTABILE,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi"
PO0152210U0001,MI,TREZZO SULL'ADDA,01/01/2006,540511,5051067,150.393,150.393,32.98,1,17,32,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi"
PO108023NU0003,MB,DESIO,01/01/2006,516261,5051920,199.167,199.167,78,3,42,65,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO1080310U0001,MB,MEZZAGO,01/01/2006,534712,5052931,220.664,220.664,75.2,1,54,74.65,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO108033NR0142,MB,MONZA,01/01/2006,522621,5051383,178.79,178.79,42,1,10.5,31.5,IRRIGUO,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO1080350U0024,MB,NOVA MILANESE,01/01/1999,514972,5048824,174.02,176.6,85,2,50,79,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO1080210U0002,MB,CONCOREZZO,01/01/2006,525376,5047357,162.45,162.45,56,1,32,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO0152060U0004,MI,SENAGO,01/01/2006,510294,5047238,169.78,169.78,104,2,41.29,64.11,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi"
PO015041NR0075,MI,BUSTO GAROLFO,01/05/2014,491337,5042014,171.64,172.01,30,1,15,30,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,SI,
PO015051NR0012,MI,CARUGATE,01/05/2014,526092,5045211,0,153,40,2,22,37,INDUSTRIALE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,SI,
PO015060NU0070,MI,CASSINA DE' PECCHI,01/05/2014,528555,5041375,134.13,134.13,43,n.d.,n.d.,n.d.,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
PO015062NR0071,MI,CASTANO PRIMO,01/05/2014,479252,5043806,170.69,170.64,35,1,20,35,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
PO0151080U0002,MI,GORGONZOLA,01/01/2006,532049,5042247,0,134.37,90,1,33.05,46.6,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi"
PO015194NU0017,MI,SAN GIORGIO SU LEGNANO,01/05/2014,492931,5045894,191.6,191.65,50,1,28,50,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
PO0152490U0002,MI,VANZAGHELLO,01/01/2005,482332,5046719,191.913,191.913,60,1,54,58,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi"
PO108033NU0243,MB,MONZA,01/03/2014,520727,5045937,163.584,163.584,50,1,22.5,49.5,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,SI,
PO1080520U0016,MB,CAPONAGO,01/03/2015,528637.8837,5045729.304,155.237,157.507,42,1,40.5,42,POTABILE,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
PO015019NR0001,MI,BERNATE TICINO,01/03/2013,486506,5037842,151.01,151.13,63.5,1,40,54.25,ALTRO MONITORAGGIO,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO015113NUP001,MI,INVERUNO,01/03/2015,489297.5977,5039466.985,158.606,158.826,25,1,9,25,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
PO015146NU1313,MI,MILANO,01/01/2010,519751,5037935,118.845,118.845,19,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
PO015146NU1534,MI,MILANO,01/01/2010,510123,5040197,138.95,138.83,24,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
PO015146NU1536,MI,MILANO,01/03/2012,511864,5036686,125.2,125.2,19,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
PO015146NU1557,MI,MILANO,01/03/2012,514394,5036838,123.76,123.7,30,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,
PO015243NUP001,MI,VITTUONE,01/03/2015,496210.5145,5037318.334,147.213,146.463,50,1,30,50,POTABILE,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi"
PO015146NU1120,MI,MILANO,01/01/2010,513604,5033914,117.37,117.37,17,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
PO015146NU1353,MI,MILANO,01/03/2012,519795,5033780,108.811,108.811,16,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,
