comune,Codice_catastale,zona_omogenea,id_punto,cod_pozzo,tipo_punto,id_pratica,seq_captazione,uso,istat_comune,foglio,mappale,lng,lat,quota_pc,quota_rif,portata,profondita,tetto_primo_filtro,letto_ultimo_filtro,Location
MILANO,F205,Milano,30577,MI03MI01514601729,POZ,MI03318532016,3,"Antincendio, Pompa di calore",15146,25,281,1508132,5039995,145,,1.77,49,25,47,POINT (9.10375458 45.51326)
ABBIATEGRASSO,A010,Magentino Abbiatense,25889,150020523,PIE,n/a,,Piezometro,15002,n/d,n/d,1494106.05,5027867.26,,,0,10,1,10,POINT (8.92433456 45.404119)
CORBETTA,C986,Magentino Abbiatense,26987,MI03MI01508500074,POZ,MI03227552013,1,Irriguo,15085,11,246,1495287,5035278,,,5,26,14,24,POINT (8.93935268 45.470833)
SESTO SAN GIOVANNI,I690,Nord Milano,31016,152090557,PIE,n/a,,Piezometro,15209,n/d,n/d,1519688.97,5043691.67,144.9,144.95,0,100,,,POINT (9.25185958 45.546303)
SESTO SAN GIOVANNI,I690,Nord Milano,7467,152090020,POZ,MI0139681986,1,Potabile [Prev],15209,7,235,1518662,5043805,148,146,50,162,150,156,POINT (9.23870855 45.547351)
BUCCINASCO,B240,Magentino Abbiatense,20666,150360246,PIE,n/a,,Piezometro,15036,n/d,n/d,1508959,5029714,112.2,112.2,0,7,,,POINT (9.11415582 45.42071)
NOVATE MILANESE,F955,Magentino Abbiatense,19671,151570080,PIE,n/a,,Piezometro,15157,n/d,n/d,1511256,5041658,,,0,28,,,POINT (9.14378742 45.528185)
BASIGLIO,A699,Sud Ovest,943,150150027,PIE,n/a,,Piezometro,15015,n/d,n/d,1511911,5023377,101,101,0,,0,0,POINT (9.15173442 45.363626)
MILANO,F205,Magentino Abbiatense,19127,151462440,PIE,n/a,,Piezometro,15146,n/d,n/d,1517153,5041424,,,0,30,,,POINT (9.21929491 45.525959)
TREZZANO SUL NAVIGLIO,L409,Magentino Abbiatense,18416,152200108,PIE,n/a,,Piezometro,15220,n/d,n/d,1504633,5029148,114,,0,18,,,POINT (9.05885767 45.415657)
CORSICO,D045,Sud Ovest,29593,MI03MI01509300037,POZ,MI03284342016,2,"Aree verdi/aree sportive, Pompa di calore",15093,4,39,1508423,5031890,,,6,70,10,62,POINT (9.10734193 45.440303)
PERO,C013,Magentino Abbiatense,18040,151700144,PIE,n/a,,Piezometro,15170,n/d,n/d,,,,,0,,,,POINT (0 0)
MILANO,F205,Magentino Abbiatense,24724,151463895,PIE,n/a,,Piezometro,15146,n/d,n/d,1510004.55,5034225.93,0,121.3,0,15,,,POINT (9.1276108 45.461308)
MILANO,F205,Magentino Abbiatense,16327,151461800,PIE,n/a,,Piezometro,15146,n/d,n/d,1513792,5041160,139,139,0,28,,,POINT (9.17624896 45.523657)
MILANO,F205,Magentino Abbiatense,14556,151461374,PIE,n/a,,Piezometro,15146,n/d,n/d,1517469.95,5031721.33,109.77,109.53,0,15,,,POINT (9.22300924 45.438618)
ABBIATEGRASSO,A010,Magentino Abbiatense,24496,150020495,PIE,n/a,,Piezometro,15002,n/d,n/d,1494687.27,5027367.9,0,117,0,7,,,POINT (8.9317667 45.399629)
MELZO,F119,Adda Martesana,4105,151420008,POZ,MI03268102003,3,Potabile [Prev],15142,7,488,1533881,5038509,116,116,20,103.19,43.15,98.09,POINT (9.43329693 45.499111)
MILANO,F205,Magentino Abbiatense,18989,151462402,PIE,n/a,,Piezometro,15146,n/d,n/d,1507732,5039396,,,0,25,,,POINT (9.09862422 45.507873)
MILANO,F205,Magentino Abbiatense,20158,151462695,PIE,n/a,,Piezometro,15146,n/d,n/d,1512381,5038798,135,,0,25,,,POINT (9.158122 45.502423)
MILANO,F205,Milano,29475,151465076,PIE,n/a,,Piezometro,15146,n/d,n/d,1517000.72,5040781.99,130,130,0,18,,,POINT (9.21732271 45.520184)
PADERNO DUGNANO,G220,Nord Milano,30918,151660158,PIE,n/a,,Piezometro,15166,n/d,n/d,1513846.57,5046766.52,165.99,165.79,0,33,,,POINT (9.17710582 45.574119)
CESANO BOSCONE,C565,Magentino Abbiatense,21183,150740108,POZ,MI0347682007,1,Aree verdi/aree sportive [Prev],15074,16,38,1506608,5031624,118.9,118.9,1,30,13.8,28.8,POINT (9.0841319 45.437928)
MILANO,F205,Milano,29208,MI03MI01514601234,POZ,MI03279032011,14,"Aree verdi/aree sportive, Pompa di calore",15146,57,329,1507874,5039410,138.4,,1.77,50,20,48,POINT (9.10044222 45.507997)
TREZZANO SUL NAVIGLIO,L409,Sud Ovest,7877,152200007,POZ,MI0140221986,1,Potabile [Prev],15220,3,138,1503992,5029968,117,117,50,113,52,107,POINT (9.050672 45.423042)
POZZUOLO MARTESANA,G965,Magentino Abbiatense,14440,151780066,PIE,n/a,,Piezometro,15178,n/d,n/d,1535411,5039298,116.02,116.02,0,40,,,POINT (9.4529361 45.506136)
MILANO,F205,Magentino Abbiatense,9358,151461365,PIE,n/a,,Piezometro,15146,n/d,n/d,1519065,5031441,107.37,107.58,0,,,,POINT (9.24339186 45.436053)
SAN GIULIANO MILANESE,H930,Magentino Abbiatense,14913,151950231,PIE,n/a,,Piezometro,15195,n/d,n/d,1522956,5027109,94.5,94.5,0,9,,,POINT (9.29293625 45.396944)
GESSATE,D995,Adda Martesana,3776,151060017,POZ,MI0133661999,1,Potabile [Prev],15106,10,155-A,1534828,5043770,135,135,7,51,44,47,POINT (9.44579101 45.546416)
COLOGNO MONZESE,C895,Adda Martesana,26827,150810225,PIE,n/a,,Piezometro,15081,n/d,n/d,1521449.75,5041329.24,131,131,0,16,,,POINT (9.27431159 45.524987)
COLOGNO MONZESE,C895,Magentino Abbiatense,18067,150810161,PIE,n/a,,Piezometro,15081,n/d,n/d,,,,,0,,,,POINT (0 0)
MILANO,F205,Magentino Abbiatense,19243,151462486,PIE,n/a,,Piezometro,15146,n/d,n/d,1510245.02,5031541.18,114.36,114.35,0,,,,POINT (9.13063092 45.437139)
ABBIATEGRASSO,A010,Magentino Abbiatense,27939,MI03MI01500200289,POZ,MI03254462012,1,Pompa di calore [Prev],15002,24,457,1495482,5026746,,,2.5,30,25,30,POINT (8.94192656 45.394037)
